actual_model,assumed_model,truth_azimuth_deg,truth_elevation_deg,estimated_azimuth_deg,estimated_elevation_deg,score,azimuth_error_deg,elevation_error_deg
provisional_pcb_endpoint,ideal_half_lambda,-60.0,0.0,20.0,-6.0,0.07030704520950327,80.0,-6.0
provisional_pcb_endpoint,ideal_half_lambda,-40.0,0.0,60.0,-20.0,0.18801935636582057,100.0,-20.0
provisional_pcb_endpoint,ideal_half_lambda,-20.0,0.0,-60.0,-18.0,0.6451978984081842,-40.0,-18.0
provisional_pcb_endpoint,ideal_half_lambda,0.0,0.0,0.0,0.0,1.0,0.0,0.0
provisional_pcb_endpoint,ideal_half_lambda,20.0,0.0,60.0,18.0,0.6451978984081821,40.0,18.0
provisional_pcb_endpoint,ideal_half_lambda,40.0,0.0,-60.0,20.0,0.1880193563658196,-100.0,20.0
provisional_pcb_endpoint,ideal_half_lambda,60.0,0.0,-20.0,6.0,0.0703070452095038,-80.0,6.0
provisional_pcb_endpoint,ideal_half_lambda,-60.0,10.0,20.0,-6.0,0.06317771986700318,80.0,-16.0
provisional_pcb_endpoint,ideal_half_lambda,-40.0,10.0,60.0,-20.0,0.19167142716187205,100.0,-30.0
provisional_pcb_endpoint,ideal_half_lambda,-20.0,10.0,-60.0,-18.0,0.4827394550623184,-40.0,-28.0
provisional_pcb_endpoint,ideal_half_lambda,0.0,10.0,-2.0,0.0,0.8719738251833945,-2.0,-10.0
provisional_pcb_endpoint,ideal_half_lambda,20.0,10.0,60.0,18.0,0.6623720255622371,40.0,8.0
provisional_pcb_endpoint,ideal_half_lambda,40.0,10.0,-60.0,20.0,0.126077975996536,-100.0,10.0
provisional_pcb_endpoint,ideal_half_lambda,60.0,10.0,-23.0,6.0,0.058179802133577825,-83.0,-4.0
provisional_pcb_endpoint,ideal_half_lambda,-60.0,20.0,-53.0,-4.0,0.043244112898971315,7.0,-24.0
provisional_pcb_endpoint,ideal_half_lambda,-40.0,20.0,-15.0,-20.0,0.3078517883040907,25.0,-40.0
provisional_pcb_endpoint,ideal_half_lambda,-20.0,20.0,32.0,-18.0,0.5775412166899729,52.0,-38.0
provisional_pcb_endpoint,ideal_half_lambda,0.0,20.0,-3.0,0.0,0.5835842594651215,-3.0,-20.0
provisional_pcb_endpoint,ideal_half_lambda,20.0,20.0,-26.0,18.0,0.6851869264058296,-46.0,-2.0
provisional_pcb_endpoint,ideal_half_lambda,40.0,20.0,20.0,20.0,0.27842100891383814,-20.0,0.0
provisional_pcb_endpoint,ideal_half_lambda,60.0,20.0,-31.0,4.0,0.03426628268637198,-91.0,-16.0
provisional_pcb_endpoint,provisional_pcb_endpoint,-60.0,-20.0,-60.0,-20.0,0.9999999999999998,0.0,0.0
provisional_pcb_endpoint,provisional_pcb_endpoint,-40.0,-20.0,-40.0,-20.0,0.9999999999999996,0.0,0.0
provisional_pcb_endpoint,provisional_pcb_endpoint,-20.0,-20.0,-20.0,-20.0,0.9999999999999998,0.0,0.0
provisional_pcb_endpoint,provisional_pcb_endpoint,0.0,-20.0,0.0,-20.0,0.9999999999999993,0.0,0.0
provisional_pcb_endpoint,provisional_pcb_endpoint,20.0,-20.0,20.0,-20.0,0.9999999999999998,0.0,0.0
provisional_pcb_endpoint,provisional_pcb_endpoint,40.0,-20.0,40.0,-20.0,1.0,0.0,0.0
provisional_pcb_endpoint,provisional_pcb_endpoint,60.0,-20.0,60.0,-20.0,1.0,0.0,0.0
provisional_pcb_endpoint,provisional_pcb_endpoint,-60.0,-10.0,-60.0,-10.0,1.0,0.0,0.0
provisional_pcb_endpoint,provisional_pcb_endpoint,-40.0,-10.0,-40.0,-10.0,1.0000000000000004,0.0,0.0
provisional_pcb_endpoint,provisional_pcb_endpoint,-20.0,-10.0,-20.0,-10.0,1.0000000000000004,0.0,0.0
provisional_pcb_endpoint,provisional_pcb_endpoint,0.0,-10.0,0.0,-10.0,1.0,0.0,0.0
provisional_pcb_endpoint,provisional_pcb_endpoint,20.0,-10.0,20.0,-10.0,0.9999999999999996,0.0,0.0
provisional_pcb_endpoint,provisional_pcb_endpoint,40.0,-10.0,40.0,-10.0,0.9999999999999998,0.0,0.0
provisional_pcb_endpoint,provisional_pcb_endpoint,60.0,-10.0,60.0,-10.0,1.0000000000000004,0.0,0.0
provisional_pcb_endpoint,provisional_pcb_endpoint,-60.0,0.0,-60.0,0.0,0.9999999999999998,0.0,0.0
provisional_pcb_endpoint,provisional_pcb_endpoint,-40.0,0.0,-40.0,0.0,1.0,0.0,0.0
provisional_pcb_endpoint,provisional_pcb_endpoint,-20.0,0.0,-20.0,0.0,1.0000000000000004,0.0,0.0
provisional_pcb_endpoint,provisional_pcb_endpoint,0.0,0.0,0.0,0.0,1.0,0.0,0.0
provisional_pcb_endpoint,provisional_pcb_endpoint,20.0,0.0,20.0,0.0,1.0000000000000004,0.0,0.0
provisional_pcb_endpoint,provisional_pcb_endpoint,40.0,0.0,40.0,0.0,1.0,0.0,0.0
provisional_pcb_endpoint,provisional_pcb_endpoint,60.0,0.0,60.0,0.0,1.0,0.0,0.0
provisional_pcb_endpoint,provisional_pcb_endpoint,-60.0,10.0,-60.0,10.0,1.0,0.0,0.0
provisional_pcb_endpoint,provisional_pcb_endpoint,-40.0,10.0,-40.0,10.0,1.0,0.0,0.0
provisional_pcb_endpoint,provisional_pcb_endpoint,-20.0,10.0,-20.0,10.0,1.0,0.0,0.0
provisional_pcb_endpoint,provisional_pcb_endpoint,0.0,10.0,0.0,10.0,0.9999999999999996,0.0,0.0
provisional_pcb_endpoint,provisional_pcb_endpoint,20.0,10.0,20.0,10.0,1.0,0.0,0.0
provisional_pcb_endpoint,provisional_pcb_endpoint,40.0,10.0,40.0,10.0,1.0000000000000004,0.0,0.0
provisional_pcb_endpoint,provisional_pcb_endpoint,60.0,10.0,60.0,10.0,1.0,0.0,0.0
provisional_pcb_endpoint,provisional_pcb_endpoint,-60.0,20.0,-60.0,20.0,1.0,0.0,0.0
provisional_pcb_endpoint,provisional_pcb_endpoint,-40.0,20.0,-40.0,20.0,0.9999999999999996,0.0,0.0
provisional_pcb_endpoint,provisional_pcb_endpoint,-20.0,20.0,-20.0,20.0,1.0,0.0,0.0
provisional_pcb_endpoint,provisional_pcb_endpoint,0.0,20.0,0.0,20.0,1.0,0.0,0.0
provisional_pcb_endpoint,provisional_pcb_endpoint,20.0,20.0,20.0,20.0,0.9999999999999998,0.0,0.0
provisional_pcb_endpoint,provisional_pcb_endpoint,40.0,20.0,40.0,20.0,0.9999999999999998,0.0,0.0
provisional_pcb_endpoint,provisional_pcb_endpoint,60.0,20.0,60.0,20.0,1.0,0.0,0.0
