scenario,model,gain_std_db,phase_std_deg,snr_db,trials,trial,truth_azimuth_deg,truth_elevation_deg,estimated_azimuth_deg,estimated_elevation_deg,score,second_peak_azimuth_deg,second_peak_elevation_deg,second_peak_score,peak_to_second_db,azimuth_error_deg,elevation_error_deg
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,10,-40.0,-10.0,-40.0,-10.0,0.9689959058530035,-50.0,4.0,0.9655748307809315,0.015360054265235689,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,11,-40.0,-10.0,-40.0,-10.0,0.973581735416305,-50.0,4.0,0.969263501020718,0.019305587728806355,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,12,-40.0,-10.0,-40.0,-10.0,0.9778136758490283,-50.0,4.0,0.977117820717083,0.0030917303987569493,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,13,-40.0,-10.0,-40.0,-10.0,0.9811770071204763,-50.0,4.0,0.974000458864549,0.03188200926085173,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,14,-40.0,-10.0,-40.0,-10.0,0.9876572052241859,-50.0,4.0,0.9858445564240621,0.007977936561254567,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,15,-40.0,-10.0,-40.0,-10.0,0.9847819190785113,-50.0,4.0,0.9842298625271586,0.002435283754755717,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,16,-40.0,-10.0,-40.0,-10.0,0.9737024103140235,-50.0,4.0,0.9718666934101453,0.008195462774873392,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,17,-40.0,-10.0,-40.0,-10.0,0.9777918100045219,-50.0,4.0,0.9756075843982591,0.009712274162595552,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,18,-40.0,-10.0,-40.0,-10.0,0.9787918232870513,-50.0,4.0,0.9776624909441264,0.005013793122318361,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,19,-40.0,-10.0,-50.0,4.0,0.9749801754140937,-40.0,-10.0,0.9747526296753691,0.0010136964295764366,-10.0,14.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,0,-40.0,0.0,-40.0,0.0,0.980717034716724,-29.0,-9.0,0.9753552589840876,0.023808889410011337,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,1,-40.0,0.0,-40.0,0.0,0.9825863448957723,-29.0,-9.0,0.9793647661916058,0.014262487008858741,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,2,-40.0,0.0,-40.0,0.0,0.9820807792952152,-29.0,-9.0,0.9816732114313458,0.0018027153875376314,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,3,-40.0,0.0,-40.0,0.0,0.9847249612259309,-29.0,-9.0,0.9837192072238679,0.004437956211901342,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,4,-40.0,0.0,-40.0,0.0,0.978141719784167,-29.0,-9.0,0.9762163740527257,0.008556950745786987,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,5,-40.0,0.0,-40.0,0.0,0.9800480560236366,-29.0,-9.0,0.9765181509306888,0.015670514612128667,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,6,-40.0,0.0,-40.0,0.0,0.9840854020793097,-29.0,-9.0,0.9773507548385936,0.029823368123991157,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,7,-40.0,0.0,-40.0,0.0,0.9794636737189713,-29.0,-9.0,0.9730643089766486,0.028467901830405574,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,8,-40.0,0.0,-40.0,0.0,0.9812373236710862,-29.0,-9.0,0.969826199957017,0.05080146812134263,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,9,-40.0,0.0,-40.0,0.0,0.9683658064082249,-29.0,-9.0,0.9639017503597838,0.020066769233462567,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,10,-40.0,0.0,-40.0,0.0,0.9750595683698791,-29.0,-9.0,0.9710538923464128,0.017878150324917103,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,11,-40.0,0.0,-40.0,0.0,0.985093062811468,-29.0,-9.0,0.9824375280254373,0.011723170249388295,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,12,-40.0,0.0,-40.0,0.0,0.9750716625755054,-29.0,-9.0,0.9698040275952373,0.023525517957244665,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,13,-40.0,0.0,-40.0,0.0,0.976165957080527,-29.0,-9.0,0.9705673305456816,0.024979891484888765,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,14,-40.0,0.0,-40.0,0.0,0.9756878037744064,-29.0,-9.0,0.9748616218771112,0.0036790276194227844,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,15,-40.0,0.0,-40.0,0.0,0.9710948650429717,-29.0,-9.0,0.9676450333388089,0.015455858263182149,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,16,-40.0,0.0,-40.0,0.0,0.9795152849068491,-29.0,-9.0,0.9735495152275319,0.026531725009185568,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,17,-40.0,0.0,-40.0,0.0,0.9792720617255652,-29.0,-9.0,0.9750993563470638,0.018544946547501967,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,18,-40.0,0.0,-40.0,0.0,0.9788372395657996,-29.0,-9.0,0.9757982847614224,0.01350433213034671,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,19,-40.0,0.0,-40.0,0.0,0.9806394021831185,-29.0,-9.0,0.9692518609935599,0.05072695714850123,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,0,-40.0,10.0,-40.0,10.0,0.9699850912695592,-50.0,-4.0,0.9624311959496016,0.03395367536602679,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,1,-40.0,10.0,-40.0,10.0,0.975559128784974,-50.0,-4.0,0.969978753418869,0.024913756723600848,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,2,-40.0,10.0,-40.0,10.0,0.981569254090336,-50.0,-4.0,0.9723025160538377,0.04119536841360509,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,3,-40.0,10.0,-40.0,10.0,0.9702531724307316,-50.0,-4.0,0.9653871737866665,0.021835469755025233,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,4,-40.0,10.0,-40.0,10.0,0.9841767650447114,-50.0,-4.0,0.9810201291004352,0.013951892098868462,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,5,-40.0,10.0,-40.0,10.0,0.985507146339771,-50.0,-4.0,0.9805928595492397,0.021710513949936117,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,6,-40.0,10.0,-40.0,10.0,0.963554547128339,-50.0,-4.0,0.9542360797363483,0.04220471996030985,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,7,-40.0,10.0,-50.0,-4.0,0.9750633374352058,-40.0,10.0,0.9748107428094342,0.0011252055079466903,-10.0,-14.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,8,-40.0,10.0,-40.0,10.0,0.9822664659355941,-50.0,-4.0,0.9741080903387324,0.03622167371200745,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,9,-40.0,10.0,-40.0,10.0,0.9858145739368857,-50.0,-4.0,0.9737158877363653,0.05362978048341877,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,10,-40.0,10.0,-50.0,-4.0,0.968734822428282,-40.0,10.0,0.9673110990617758,0.006387403381546598,-10.0,-14.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,11,-40.0,10.0,-40.0,10.0,0.9863955925454468,-50.0,-4.0,0.978980993963748,0.03276862611130518,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,12,-40.0,10.0,-40.0,10.0,0.9828190590291531,-50.0,-4.0,0.9796996111610273,0.013806341384132892,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,13,-40.0,10.0,-40.0,10.0,0.9816071363140796,-50.0,-4.0,0.972824148424151,0.039033645056759644,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,14,-40.0,10.0,-40.0,10.0,0.9723743011434584,-50.0,-4.0,0.9625370732886511,0.04416006480733664,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,15,-40.0,10.0,-40.0,10.0,0.9867318294189612,-50.0,-4.0,0.9797787552388928,0.03071119327614828,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,16,-40.0,10.0,-40.0,10.0,0.9703625885839755,-50.0,-4.0,0.9678641572638702,0.011196373582560861,0.0,0.0
