case_id,scenario_id,target_snr_db,pfa,target_range_truth_m,target_velocity_truth_mps,target_rcs_m2,frames,detection_probability,mean_false_alarms_per_frame,target_azimuth_rmse_deg,target_elevation_rmse_deg,mean_target_amplitude,calibration_status,target_range_bin_m,target_velocity_bin_mps,mean_clutter_to_training_db,max_clutter_to_training_db
ss3_upper,v-0.6_snr10_pfa0.001,10.0,0.001,20.0,-0.6,1.0,41,1.0,0.14634146341463414,0.0,0.0,2.0294474892204883,awaiting_dca1000_reference_capture,19.32256076953125,-0.6083450852272727,-16.276187305406825,0.18415026366710663
ss3_upper,v-0.6_snr15_pfa0.01,15.0,0.01,20.0,-0.6,1.0,41,1.0,0.2682926829268293,0.0,0.0,3.608924683835984,awaiting_dca1000_reference_capture,19.32256076953125,-0.6083450852272727,-16.276187305406825,0.18415026366710663
ss3_upper,v-0.6_snr15_pfa0.001,15.0,0.001,20.0,-0.6,1.0,41,1.0,0.14634146341463414,0.0,0.0,3.608924683835984,awaiting_dca1000_reference_capture,19.32256076953125,-0.6083450852272727,-16.276187305406825,0.18415026366710663
ss3_upper,v-0.3_snr0_pfa0.01,0.0,0.01,20.0,-0.3,1.0,41,0.0,0.2682926829268293,,,0.6333367752479694,awaiting_dca1000_reference_capture,19.32256076953125,-0.30417254261363635,-5.864869103744263,-0.07249217480421066
ss3_upper,v-0.3_snr0_pfa0.001,0.0,0.001,20.0,-0.3,1.0,41,0.0,0.14634146341463414,,,0.6333367752479694,awaiting_dca1000_reference_capture,19.32256076953125,-0.30417254261363635,-5.864869103744263,-0.07249217480421066
ss3_upper,v-0.3_snr5_pfa0.01,5.0,0.01,20.0,-0.3,1.0,41,0.024390243902439025,0.2682926829268293,0.0,0.0,1.1262497470439132,awaiting_dca1000_reference_capture,19.32256076953125,-0.30417254261363635,-5.864869103744263,-0.07249217480421066
ss3_upper,v-0.3_snr5_pfa0.001,5.0,0.001,20.0,-0.3,1.0,41,0.0,0.14634146341463414,,,1.1262497470439132,awaiting_dca1000_reference_capture,19.32256076953125,-0.30417254261363635,-5.864869103744263,-0.07249217480421066
ss3_upper,v-0.3_snr10_pfa0.01,10.0,0.01,20.0,-0.3,1.0,41,1.0,0.2682926829268293,0.0,0.0,2.0027867357297353,awaiting_dca1000_reference_capture,19.32256076953125,-0.30417254261363635,-5.864869103744263,-0.07249217480421066
ss3_upper,v-0.3_snr10_pfa0.001,10.0,0.001,20.0,-0.3,1.0,41,1.0,0.14634146341463414,0.0,0.0,2.0027867357297353,awaiting_dca1000_reference_capture,19.32256076953125,-0.30417254261363635,-5.864869103744263,-0.07249217480421066
ss3_upper,v-0.3_snr15_pfa0.01,15.0,0.01,20.0,-0.3,1.0,41,1.0,0.2682926829268293,0.0,0.0,3.5615144148472546,awaiting_dca1000_reference_capture,19.32256076953125,-0.30417254261363635,-5.864869103744263,-0.07249217480421066
ss3_upper,v-0.3_snr15_pfa0.001,15.0,0.001,20.0,-0.3,1.0,41,1.0,0.14634146341463414,0.0,0.0,3.5615144148472546,awaiting_dca1000_reference_capture,19.32256076953125,-0.30417254261363635,-5.864869103744263,-0.07249217480421066
ss3_upper,v0_snr0_pfa0.01,0.0,0.01,20.0,0.0,1.0,41,0.0,0.2682926829268293,,,0.630738384568335,awaiting_dca1000_reference_capture,19.32256076953125,0.0,-3.388324715015365,1.6513957977294922
ss3_upper,v0_snr0_pfa0.001,0.0,0.001,20.0,0.0,1.0,41,0.0,0.14634146341463414,,,0.630738384568335,awaiting_dca1000_reference_capture,19.32256076953125,0.0,-3.388324715015365,1.6513957977294922
ss3_upper,v0_snr5_pfa0.01,5.0,0.01,20.0,0.0,1.0,41,0.1951219512195122,0.2682926829268293,0.0,0.0,1.1216290823990822,awaiting_dca1000_reference_capture,19.32256076953125,0.0,-3.388324715015365,1.6513957977294922
ss3_upper,v0_snr5_pfa0.001,5.0,0.001,20.0,0.0,1.0,41,0.0,0.14634146341463414,,,1.1216290823990822,awaiting_dca1000_reference_capture,19.32256076953125,0.0,-3.388324715015365,1.6513957977294922
ss3_upper,v0_snr10_pfa0.01,10.0,0.01,20.0,0.0,1.0,41,1.0,0.2682926829268293,0.0,0.0,1.994569902931138,awaiting_dca1000_reference_capture,19.32256076953125,0.0,-3.388324715015365,1.6513957977294922
ss3_upper,v0_snr10_pfa0.001,10.0,0.001,20.0,0.0,1.0,41,1.0,0.14634146341463414,0.0,0.0,1.994569902931138,awaiting_dca1000_reference_capture,19.32256076953125,0.0,-3.388324715015365,1.6513957977294922
ss3_upper,v0_snr15_pfa0.01,15.0,0.01,20.0,0.0,1.0,41,1.0,0.2682926829268293,0.0,0.0,3.5469025902657747,awaiting_dca1000_reference_capture,19.32256076953125,0.0,-3.388324715015365,1.6513957977294922
ss3_upper,v0_snr15_pfa0.001,15.0,0.001,20.0,0.0,1.0,41,1.0,0.14634146341463414,0.0,0.0,3.5469025902657747,awaiting_dca1000_reference_capture,19.32256076953125,0.0,-3.388324715015365,1.6513957977294922
ss3_upper,v0.3_snr0_pfa0.01,0.0,0.01,20.0,0.3,1.0,41,0.0,0.2682926829268293,,,0.6318223466117305,awaiting_dca1000_reference_capture,19.32256076953125,0.30417254261363635,-8.696272394460875,0.6571372747421265
ss3_upper,v0.3_snr0_pfa0.001,0.0,0.001,20.0,0.3,1.0,41,0.0,0.14634146341463414,,,0.6318223466117305,awaiting_dca1000_reference_capture,19.32256076953125,0.30417254261363635,-8.696272394460875,0.6571372747421265
ss3_upper,v0.3_snr5_pfa0.01,5.0,0.01,20.0,0.3,1.0,41,0.04878048780487805,0.2682926829268293,7.0710678118654755,3.5355339059327378,1.123556669782116,awaiting_dca1000_reference_capture,19.32256076953125,0.30417254261363635,-8.696272394460875,0.6571372747421265
ss3_upper,v0.3_snr5_pfa0.001,5.0,0.001,20.0,0.3,1.0,41,0.0,0.14634146341463414,,,1.123556669782116,awaiting_dca1000_reference_capture,19.32256076953125,0.30417254261363635,-8.696272394460875,0.6571372747421265
ss3_upper,v0.3_snr10_pfa0.01,10.0,0.01,20.0,0.3,1.0,41,1.0,0.2682926829268293,1.5617376188860606,0.7808688094430303,1.9979976918854379,awaiting_dca1000_reference_capture,19.32256076953125,0.30417254261363635,-8.696272394460875,0.6571372747421265
