INDEXFORSAVE,LAYER,LAYER_V7,NAME,X,Y,XSIZE,YSIZE,SHAPE,UNIQUEID,status
2086,BOTTOM,,2,4610.5908mil,4458.2632mil,33.4646mil,31.4961mil,RECTANGLE,QCGHLYYO,geometry_only_unconfirmed
2087,BOTTOM,,1,4555.4727mil,4458.2632mil,33.4646mil,31.4961mil,RECTANGLE,HUAOSHAQ,geometry_only_unconfirmed
2088,BOTTOM,,2,4799.8088mil,4553.7335mil,33.4646mil,31.4961mil,RECTANGLE,GXRQJTJU,geometry_only_unconfirmed
2089,BOTTOM,,1,4744.6907mil,4553.7335mil,33.4646mil,31.4961mil,RECTANGLE,UPTKVDLS,geometry_only_unconfirmed
2090,BOTTOM,,1,5202.55mil,2389.671mil,19.685mil,23.622mil,RECTANGLE,AFGGGYRD,geometry_only_unconfirmed
2091,BOTTOM,,2,5202.55mil,2429.0411mil,19.685mil,23.622mil,RECTANGLE,HXVYVNQD,geometry_only_unconfirmed
2092,BOTTOM,,1,5202.0213mil,4377.3081mil,19.685mil,23.622mil,RECTANGLE,VDXPTNRI,geometry_only_unconfirmed
2093,BOTTOM,,2,5241.3914mil,4377.3081mil,19.685mil,23.622mil,RECTANGLE,EFJWMDRY,geometry_only_unconfirmed
2094,BOTTOM,,1,5311.9988mil,2448.726mil,19.685mil,23.622mil,RECTANGLE,TVCDCXGN,geometry_only_unconfirmed
2095,BOTTOM,,2,5311.9988mil,2409.3559mil,19.685mil,23.622mil,RECTANGLE,MOTSEYFN,geometry_only_unconfirmed
2096,BOTTOM,,2,5321.8613mil,2498.3338mil,19.685mil,23.622mil,RECTANGLE,JYJXJRAL,geometry_only_unconfirmed
2097,BOTTOM,,1,5361.2314mil,2498.3338mil,19.685mil,23.622mil,RECTANGLE,OSBXNWOF,geometry_only_unconfirmed
2098,BOTTOM,,2,5288.3968mil,2537.7039mil,19.685mil,23.622mil,RECTANGLE,AONNCCDQ,geometry_only_unconfirmed
2099,BOTTOM,,1,5288.3968mil,2498.3338mil,19.685mil,23.622mil,RECTANGLE,GVTFNWKG,geometry_only_unconfirmed
2100,BOTTOM,,2,4388.5945mil,2757.2214mil,19.685mil,23.622mil,RECTANGLE,UISNAVTF,geometry_only_unconfirmed
2101,BOTTOM,,1,4388.5945mil,2796.5915mil,19.685mil,23.622mil,RECTANGLE,XBHGWXPT,geometry_only_unconfirmed
2102,BOTTOM,,2,4538.5946mil,2757.2214mil,19.685mil,23.622mil,RECTANGLE,ANPYDUOR,geometry_only_unconfirmed
2103,BOTTOM,,1,4538.5946mil,2796.5915mil,19.685mil,23.622mil,RECTANGLE,NLAPOYOM,geometry_only_unconfirmed
2104,BOTTOM,,2,3919.4269mil,2334.1335mil,19.685mil,23.622mil,RECTANGLE,INGJXRJC,geometry_only_unconfirmed
2105,BOTTOM,,1,3880.0568mil,2334.1335mil,19.685mil,23.622mil,RECTANGLE,RURVSQHX,geometry_only_unconfirmed
2106,BOTTOM,,2,4235.145mil,4667.3352mil,33.4646mil,31.4961mil,RECTANGLE,CMPGWQGV,geometry_only_unconfirmed
2107,BOTTOM,,1,4290.2631mil,4667.3352mil,33.4646mil,31.4961mil,RECTANGLE,GYDVMOLG,geometry_only_unconfirmed
2108,BOTTOM,,2,4621.8652mil,4309.9486mil,33.4646mil,31.4961mil,RECTANGLE,HPNTCRWW,geometry_only_unconfirmed
2109,BOTTOM,,1,4621.8652mil,4365.0667mil,33.4646mil,31.4961mil,RECTANGLE,FMGXIYXX,geometry_only_unconfirmed
2110,BOTTOM,,2,4595.1267mil,4519.2635mil,33.4646mil,31.4961mil,RECTANGLE,BWGOQYKM,geometry_only_unconfirmed
2111,BOTTOM,,1,4650.2448mil,4519.2635mil,33.4646mil,31.4961mil,RECTANGLE,VXQRVGGS,geometry_only_unconfirmed
2112,BOTTOM,,1,4632.6746mil,4652.6481mil,19.685mil,23.622mil,RECTANGLE,UXSTUUUG,geometry_only_unconfirmed
2113,BOTTOM,,2,4593.3045mil,4652.6481mil,19.685mil,23.622mil,RECTANGLE,EOESWVQD,geometry_only_unconfirmed
2114,BOTTOM,,2,4084.9202mil,2634.7435mil,19.685mil,23.622mil,RECTANGLE,HXBGPVXM,geometry_only_unconfirmed
2115,BOTTOM,,1,4124.2903mil,2634.7435mil,19.685mil,23.622mil,RECTANGLE,IBOWFKMX,geometry_only_unconfirmed
2116,BOTTOM,,2,4034.1843mil,2441.7232mil,19.685mil,23.622mil,RECTANGLE,IYYACWHQ,geometry_only_unconfirmed
2117,BOTTOM,,1,3994.8142mil,2441.7232mil,19.685mil,23.622mil,RECTANGLE,UXPTGABM,geometry_only_unconfirmed
2118,BOTTOM,,2,3994.8142mil,2407.9903mil,19.685mil,23.622mil,RECTANGLE,GDWMVGUI,geometry_only_unconfirmed
2119,BOTTOM,,1,4034.1843mil,2407.9903mil,19.685mil,23.622mil,RECTANGLE,ATBPJYBM,geometry_only_unconfirmed
2120,BOTTOM,,2,4034.1843mil,2508.3843mil,19.685mil,23.622mil,RECTANGLE,JHKCWCRN,geometry_only_unconfirmed
2121,BOTTOM,,1,3994.8142mil,2508.3843mil,19.685mil,23.622mil,RECTANGLE,FCWBTNOG,geometry_only_unconfirmed
2122,BOTTOM,,2,4009.9663mil,2334.1335mil,19.685mil,23.622mil,RECTANGLE,JJRNTKQD,geometry_only_unconfirmed
2123,BOTTOM,,1,3970.5962mil,2334.1335mil,19.685mil,23.622mil,RECTANGLE,OAJHWVOT,geometry_only_unconfirmed
2124,BOTTOM,,1,4272.1368mil,3020.2624mil,19.685mil,23.622mil,RECTANGLE,QDGNYRRO,geometry_only_unconfirmed
2125,BOTTOM,,2,4272.1368mil,2980.8923mil,19.685mil,23.622mil,RECTANGLE,BQMGCSPK,geometry_only_unconfirmed
2126,BOTTOM,,1,3982.38mil,2724.4902mil,19.685mil,23.622mil,RECTANGLE,KUKRYLCX,geometry_only_unconfirmed
2127,BOTTOM,,2,3943.0099mil,2724.4902mil,19.685mil,23.622mil,RECTANGLE,DFPNNVTU,geometry_only_unconfirmed
2128,BOTTOM,,1,3982.38mil,2774.6772mil,19.685mil,23.622mil,RECTANGLE,UNJRVXJM,geometry_only_unconfirmed
2129,BOTTOM,,2,3943.0099mil,2774.6772mil,19.685mil,23.622mil,RECTANGLE,VWJCVDYI,geometry_only_unconfirmed
2130,BOTTOM,,1,4351.3772mil,3139.812mil,68.8976mil,43.3071mil,RECTANGLE,TPAJVTKV,geometry_only_unconfirmed
2131,BOTTOM,,2,4245.078mil,3139.812mil,68.8976mil,43.3071mil,RECTANGLE,RQGBULGK,geometry_only_unconfirmed
2132,BOTTOM,,1,4325.5839mil,3020.2624mil,19.685mil,23.622mil,RECTANGLE,TJFSIAEX,geometry_only_unconfirmed
2133,BOTTOM,,2,4325.5839mil,2980.8923mil,19.685mil,23.622mil,RECTANGLE,TLNCRKXJ,geometry_only_unconfirmed
2134,BOTTOM,,1,4663.0513mil,4116.8206mil,19.685mil,23.622mil,RECTANGLE,MJUBMWGV,geometry_only_unconfirmed
2135,BOTTOM,,2,4663.0513mil,4156.1907mil,19.685mil,23.622mil,RECTANGLE,SBCRYKAM,geometry_only_unconfirmed
2136,BOTTOM,,1,4712.4219mil,4116.8206mil,19.685mil,23.622mil,RECTANGLE,WSGMOTSK,geometry_only_unconfirmed
2137,BOTTOM,,2,4712.4219mil,4156.1907mil,19.685mil,23.622mil,RECTANGLE,RTAKEUPI,geometry_only_unconfirmed
2138,BOTTOM,,2,4947.7854mil,4127.0696mil,19.685mil,23.622mil,RECTANGLE,WOUURFST,geometry_only_unconfirmed
2139,BOTTOM,,1,4947.7854mil,4087.6995mil,19.685mil,23.622mil,RECTANGLE,VNMLDGVL,geometry_only_unconfirmed
2140,BOTTOM,,1,5032.1675mil,4020.2789mil,19.685mil,23.622mil,RECTANGLE,COCHAWQN,geometry_only_unconfirmed
2141,BOTTOM,,2,4992.7974mil,4020.2789mil,19.685mil,23.622mil,RECTANGLE,VEFFMNUV,geometry_only_unconfirmed
2142,BOTTOM,,2,4480.8692mil,5209.5922mil,19.685mil,23.622mil,RECTANGLE,XFEOJELL,geometry_only_unconfirmed
2143,BOTTOM,,1,4520.2393mil,5209.5922mil,19.685mil,23.622mil,RECTANGLE,MIURJYSG,geometry_only_unconfirmed
2144,BOTTOM,,1,4325.4319mil,2631.7695mil,19.685mil,23.622mil,RECTANGLE,EIPOSMIK,geometry_only_unconfirmed
2145,BOTTOM,,2,4325.4319mil,2592.3994mil,19.685mil,23.622mil,RECTANGLE,RUGHWXXB,geometry_only_unconfirmed
2146,BOTTOM,,2,4258.9429mil,2598.0376mil,19.685mil,23.622mil,RECTANGLE,DQCCPBFU,geometry_only_unconfirmed
2147,BOTTOM,,1,4258.9429mil,2637.4077mil,19.685mil,23.622mil,RECTANGLE,CBSWOMWV,geometry_only_unconfirmed
2148,BOTTOM,,1,4201.1664mil,3624.1143mil,19.685mil,23.622mil,RECTANGLE,RBJHXBNG,geometry_only_unconfirmed
2149,BOTTOM,,2,4201.1664mil,3584.7442mil,19.685mil,23.622mil,RECTANGLE,BHGJXLSM,geometry_only_unconfirmed
