truth_azimuth_deg,truth_elevation_deg,rx_order,tx_order,estimated_azimuth_deg,estimated_elevation_deg,azimuth_error_deg,elevation_error_deg,score,identity_order
10.0,2.0,"0,2,3,1","3,2,1,0",-4.0,11.0,-14.0,9.0,0.7550251839042819,False
10.0,2.0,"0,3,1,2","0,1,2,3",-25.0,0.0,-35.0,-2.0,0.589937883480577,False
10.0,2.0,"0,3,1,2","0,1,3,2",-11.0,-8.0,-21.0,-10.0,0.5848337475550515,False
10.0,2.0,"0,3,1,2","0,2,1,3",13.0,0.0,3.0,-2.0,0.5625600482210222,False
10.0,2.0,"0,3,1,2","0,2,3,1",56.0,-15.0,46.0,-17.0,0.4126930282310438,False
10.0,2.0,"0,3,1,2","0,3,1,2",53.0,-4.0,43.0,-6.0,0.5605021828456422,False
10.0,2.0,"0,3,1,2","0,3,2,1",-34.0,-8.0,-44.0,-10.0,0.5813658542572722,False
10.0,2.0,"0,3,1,2","1,0,2,3",-57.0,-7.0,-67.0,-9.0,0.5326463906092911,False
10.0,2.0,"0,3,1,2","1,0,3,2",-6.0,10.0,-16.0,8.0,0.5480339767423065,False
10.0,2.0,"0,3,1,2","1,2,0,3",-23.0,-4.0,-33.0,-6.0,0.4553788644901926,False
10.0,2.0,"0,3,1,2","1,2,3,0",56.0,-18.0,46.0,-20.0,0.4067758282763044,False
10.0,2.0,"0,3,1,2","1,3,0,2",58.0,-7.0,48.0,-9.0,0.5917665559576106,False
10.0,2.0,"0,3,1,2","1,3,2,0",-28.0,-16.0,-38.0,-18.0,0.5859822637274492,False
10.0,2.0,"0,3,1,2","2,0,1,3",-11.0,-8.0,-21.0,-10.0,0.3940817513880851,False
10.0,2.0,"0,3,1,2","2,0,3,1",15.0,-17.0,5.0,-19.0,0.5500387374566587,False
10.0,2.0,"0,3,1,2","2,1,0,3",-12.0,-9.0,-22.0,-11.0,0.5942167718159237,False
10.0,2.0,"0,3,1,2","2,1,3,0",-18.0,5.0,-28.0,3.0,0.5897429789861828,False
10.0,2.0,"0,3,1,2","2,3,0,1",-58.0,-13.0,-68.0,-15.0,0.5802977795707457,False
10.0,2.0,"0,3,1,2","2,3,1,0",-39.0,-16.0,-49.0,-18.0,0.5686509533683592,False
10.0,2.0,"0,3,1,2","3,0,1,2",-18.0,5.0,-28.0,3.0,0.3945156962668912,False
10.0,2.0,"0,3,1,2","3,0,2,1",-53.0,12.0,-63.0,10.0,0.5286211110607323,False
