case_id,scenario_id,detector,abstract_detection_count,cad_detection_count,delta_detection_count,abstract_stored_point_count,cad_stored_point_count,delta_stored_point_count,abstract_mean_azimuth_deg,cad_mean_azimuth_deg,delta_mean_azimuth_deg,abstract_std_azimuth_deg,cad_std_azimuth_deg,delta_std_azimuth_deg,abstract_mean_elevation_deg,cad_mean_elevation_deg,delta_mean_elevation_deg,abstract_std_elevation_deg,cad_std_elevation_deg,delta_std_elevation_deg
ss1_rippled,pfa1e2_train4,os_cfar_local_peak,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ss1_rippled,pfa1e2_train8,ca_cfar_local_peak,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ss1_rippled,pfa1e2_train8,ca_threshold_only,984.0,984.0,0.0,256.0,256.0,0.0,nan,nan,nan,nan,nan,nan,-7.153292384197943,7.098872392783161,14.252164776981104,24.14138995649461,23.943563972797946,-0.1978259836966636
ss1_rippled,pfa1e2_train8,fixed_energy_local_peak,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ss1_rippled,pfa1e2_train8,os_cfar_local_peak,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ss1_rippled,pfa1e3_train2,ca_cfar_local_peak,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ss1_rippled,pfa1e3_train2,ca_threshold_only,23.0,23.0,0.0,23.0,23.0,0.0,1.5450078723921559,1.5588862281111735,0.013878355719017632,8.172173420041219,8.168496537277193,-0.0036768827640258905,-6.04951358085155,6.031162719808757,12.080676300660308,25.58116823058777,25.354842819548196,-0.22632541103957493
ss1_rippled,pfa1e3_train2,fixed_energy_local_peak,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ss1_rippled,pfa1e3_train2,os_cfar_local_peak,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ss1_rippled,pfa1e3_train4,ca_cfar_local_peak,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ss1_rippled,pfa1e3_train4,ca_threshold_only,558.0,558.0,0.0,256.0,256.0,0.0,0.4927642752196831,0.5003064583361337,0.0075421831164506625,6.986104047249563,6.989953208989789,0.0038491617402263145,-2.310770622870197,2.296641036109342,4.607411658979538,23.32881441981648,23.15231066142408,-0.17650375839239985
ss1_rippled,pfa1e3_train4,fixed_energy_local_peak,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ss1_rippled,pfa1e3_train4,os_cfar_local_peak,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ss1_rippled,pfa1e3_train8,ca_cfar_local_peak,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ss1_rippled,pfa1e3_train8,ca_threshold_only,663.0,663.0,0.0,256.0,256.0,0.0,-0.058486920438201,-0.03774901989768792,0.020737900540513082,6.12002001990458,6.091248965006738,-0.028771054897842596,-4.888862102345396,4.849869672371568,9.738731774716964,23.013711113589473,22.82337929079374,-0.19033182279573424
ss1_rippled,pfa1e3_train8,fixed_energy_local_peak,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ss1_rippled,pfa1e3_train8,os_cfar_local_peak,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ss1_rippled,pfa1e4_train2,ca_cfar_local_peak,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ss1_rippled,pfa1e4_train2,ca_threshold_only,4.0,4.0,0.0,4.0,4.0,0.0,-1.0971658524939456,-1.01808766662873,0.07907818586521564,10.816004335803889,10.77006583074371,-0.045938505060179935,3.1954163364547856,-3.0748980081911714,-6.270314344645957,35.61110906938244,35.24018745921988,-0.3709216101625543
ss1_rippled,pfa1e4_train2,fixed_energy_local_peak,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ss1_rippled,pfa1e4_train2,os_cfar_local_peak,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ss1_rippled,pfa1e4_train4,ca_cfar_local_peak,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ss1_rippled,pfa1e4_train4,ca_threshold_only,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ss1_rippled,pfa1e4_train4,fixed_energy_local_peak,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ss1_rippled,pfa1e4_train4,os_cfar_local_peak,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ss1_rippled,pfa1e4_train8,ca_cfar_local_peak,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ss1_rippled,pfa1e4_train8,ca_threshold_only,22.0,22.0,0.0,22.0,22.0,0.0,0.4681081087643403,0.4873455072257035,0.019237398461363242,7.366219169158951,7.39524567714369,0.029026507984738714,6.322266587266217,-6.250339591638859,-12.572606178905076,17.997894251930845,17.939886229341433,-0.05800802258941218
ss1_rippled,pfa1e4_train8,fixed_energy_local_peak,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ss1_rippled,pfa1e4_train8,os_cfar_local_peak,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ss2_normal,pfa1e2_train2,ca_cfar_local_peak,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ss2_normal,pfa1e2_train2,ca_threshold_only,1095.0,1095.0,0.0,256.0,256.0,0.0,1.9987752701048258,2.0046540555709265,0.0058787854661006556,7.866533383968696,7.853194485989869,-0.013338897978827369,-6.893407998819431,6.865804022004258,13.75921202082369,25.229638685920285,25.036364752433784,-0.1932739334865019
ss2_normal,pfa1e2_train2,fixed_energy_local_peak,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ss2_normal,pfa1e2_train2,os_cfar_local_peak,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ss2_normal,pfa1e2_train4,ca_cfar_local_peak,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ss2_normal,pfa1e2_train4,ca_threshold_only,1403.0,1403.0,0.0,256.0,256.0,0.0,1.1623517816069513,1.1657958718749968,0.0034440902680454855,8.270990105646405,8.264764878214418,-0.006225227431986724,-3.064437743211257,3.0534886330175137,6.117926376228771,24.21214593069427,24.04090633898523,-0.17123959170903902
ss2_normal,pfa1e2_train4,fixed_energy_local_peak,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ss2_normal,pfa1e2_train4,os_cfar_local_peak,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ss2_normal,pfa1e2_train8,ca_cfar_local_peak,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ss2_normal,pfa1e2_train8,ca_threshold_only,1013.0,1013.0,0.0,256.0,256.0,0.0,1.7366904496187756,1.737837404936147,0.001146955317371301,7.115925552031453,7.111900179736595,-0.0040253722948584425,-4.435300164765332,4.4185055143183,8.853805679083631,24.41331798124218,24.227346965005346,-0.18597101623683443
ss2_normal,pfa1e2_train8,fixed_energy_local_peak,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ss2_normal,pfa1e2_train8,os_cfar_local_peak,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ss2_normal,pfa1e3_train2,ca_cfar_local_peak,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ss2_normal,pfa1e3_train2,ca_threshold_only,24.0,24.0,0.0,24.0,24.0,0.0,2.8554051399368876,2.8336080898652107,-0.02179705007167687,7.5489861180620075,7.493454220552909,-0.05553189750909837,-18.261669659950638,18.132038884716287,36.39370854466692,25.86967780143411,25.646855529526526,-0.2228222719075852
ss2_normal,pfa1e3_train2,fixed_energy_local_peak,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ss2_normal,pfa1e3_train2,os_cfar_local_peak,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ss2_normal,pfa1e3_train4,ca_cfar_local_peak,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ss2_normal,pfa1e3_train4,ca_threshold_only,91.0,91.0,0.0,91.0,91.0,0.0,-1.2805507974933474,-1.271581729640114,0.008969067853233481,6.003140660419447,6.015226032697444,0.012085372277996775,-10.860369769049518,10.766971078774654,21.627340847824172,22.343822926641668,22.1453209298442,-0.19850199679746794
ss2_normal,pfa1e3_train4,fixed_energy_local_peak,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ss2_normal,pfa1e3_train4,os_cfar_local_peak,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ss2_normal,pfa1e3_train8,ca_cfar_local_peak,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ss2_normal,pfa1e3_train8,ca_threshold_only,472.0,472.0,0.0,256.0,256.0,0.0,0.49144049835319503,0.4869920180889127,-0.004448480264282351,6.841555102461946,6.846474250020194,0.004919147558247516,-3.8896961481271735,3.8537022086888255,7.743398356815999,27.040831746840112,26.81175493543035,-0.22907681140976166
ss2_normal,pfa1e3_train8,fixed_energy_local_peak,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
