case_id,frame,time_s,wind_speed_mps,wind_direction_deg,estimated_azimuth_deg,estimated_elevation_deg,peak_to_second_db,grid_dx_m,grid_dy_m,mean_abs_radial_velocity_mps,rms_radial_velocity_mps,doppler_min_hz,doppler_max_hz,illuminated_fraction,selected_facet_count
ss2_normal,19,9.5,4.6,90.0,51.0,-12.0,0.0025331541498832917,1.0,1.0,0.004038826019582178,0.007009641406163373,-43.70239195282596,61.20595040438847,0.6618661866186618,48
ss2_normal,20,10.0,4.6,90.0,22.0,18.0,0.06466452313760157,1.0,1.0,0.00406083487614649,0.0072228614220449915,-49.28220306528498,92.30879740435095,0.6632663266326633,48
ss2_normal,21,10.5,4.6,90.0,-3.0,12.0,0.012825667972816434,1.0,1.0,0.004012650516182158,0.006987598167636254,-60.17810251861814,48.39667270439917,0.6576657665766577,48
ss2_normal,22,11.0,4.6,90.0,31.0,6.0,0.0359679857087732,1.0,1.0,0.004103806899041453,0.008179470511702763,-148.41210685380938,33.91873922878957,0.6654665466546654,48
ss2_normal,23,11.5,4.6,90.0,-8.0,-5.0,0.04367284324541196,1.0,1.0,0.004028022117036091,0.00699847249275961,-61.68450681880366,73.29796121598422,0.6662666266626662,48
ss2_normal,24,12.0,4.6,90.0,48.0,17.0,0.03935999803267309,1.0,1.0,0.004070626851703923,0.007495455848252833,-49.33804141082795,96.07242711885375,0.6692669266926693,48
ss2_normal,25,12.5,4.6,90.0,52.0,3.0,0.02947476776707116,1.0,1.0,0.0040223051182189514,0.006862945370174162,-81.27887734174489,42.93216139606617,0.6594659465946595,48
ss2_normal,26,13.0,4.6,90.0,0.0,11.0,0.08819445505292292,1.0,1.0,0.004067833352597533,0.007474903891920227,-115.98358552234285,44.59339276888537,0.6601660166016602,48
ss2_normal,27,13.5,4.6,90.0,-28.0,-12.0,0.09256416913318236,1.0,1.0,0.0040157847001817465,0.0068831351978585024,-66.53172416888968,46.43072575468609,0.6677667766776678,48
ss2_normal,28,14.0,4.6,90.0,34.0,13.0,0.09611042992785994,1.0,1.0,0.004091334606308325,0.0072769143168416135,-57.371538832800155,74.54315491436012,0.664966496649665,48
ss2_normal,29,14.5,4.6,90.0,-59.0,-17.0,0.13835061367701632,1.0,1.0,0.0040458581269593,0.006814233898199754,-37.88847932786629,43.29890349242069,0.6594659465946595,48
ss2_normal,30,15.0,4.6,90.0,2.0,-5.0,0.1657119452056445,1.0,1.0,0.0040751023537554,0.007278875462194432,-85.30561497548291,38.156063334391504,0.6603660366036603,48
ss2_normal,31,15.5,4.6,90.0,26.0,11.0,0.03295600760295782,1.0,1.0,0.0040802004677733955,0.007214884386035893,-74.74021685184336,28.553617454766968,0.6621662166216622,48
ss2_normal,32,16.0,4.6,90.0,-4.0,-13.0,0.014337645673096996,1.0,1.0,0.004087897747127023,0.007186062740773796,-47.44337181292604,65.4724099159275,0.6661666166616662,48
ss2_normal,33,16.5,4.6,90.0,32.0,14.0,0.06668162566553047,1.0,1.0,0.0040542811250657285,0.007058089345832873,-49.276605397635144,75.12046105011461,0.6632663266326633,48
ss2_normal,34,17.0,4.6,90.0,-26.0,-20.0,0.14747531106598488,1.0,1.0,0.004066917055066619,0.0071897139912213085,-81.37720548043956,33.68142776206668,0.6585658565856586,48
ss2_normal,35,17.5,4.6,90.0,19.0,18.0,0.028929100537715816,1.0,1.0,0.004082070930518395,0.007528748208338263,-114.40065304418704,49.18256917017702,0.6587658765876587,48
ss2_normal,36,18.0,4.6,90.0,21.0,13.0,0.04647759654928647,1.0,1.0,0.00402188169294268,0.006849709030817487,-55.514997787362105,73.85104085044624,0.6605660566056606,48
ss2_normal,37,18.5,4.6,90.0,35.0,20.0,0.01177262601150109,1.0,1.0,0.004110232211171738,0.007245313461773584,-83.4193262939931,58.546039116180324,0.6584658465846585,48
ss2_normal,38,19.0,4.6,90.0,-40.0,-11.0,0.04610052840364414,1.0,1.0,0.004084394234676671,0.007457077423872896,-96.28129976881475,90.27513944308373,0.6628662866286629,48
ss2_normal,39,19.5,4.6,90.0,-30.0,9.0,0.030714903021640177,1.0,1.0,0.004061185592004773,0.00684881967571845,-66.82582791275745,57.82487381542825,0.6622662266226622,48
ss2_normal,40,20.0,4.6,90.0,59.0,-17.0,0.003951264907563507,1.0,1.0,0.004098776651581198,0.007150670928335468,-64.1295142734527,64.11146068203395,0.663066306630663,48
ss3_nominal,0,0.0,6.7,90.0,13.0,13.0,0.06359159379786695,1.0,1.0,0.0,0.0,0.0,0.0,0.577957795779578,48
ss3_nominal,1,0.5,6.7,90.0,58.0,-19.0,0.01845550933265374,1.0,1.0,0.01003344241855922,0.01686236958177047,-124.44528143182296,164.7838024473997,0.5783578357835784,48
ss3_nominal,2,1.0,6.7,90.0,-28.0,6.0,0.007302206907456411,1.0,1.0,0.010279653948501853,0.0191797305535763,-170.22800432781315,88.65072767186001,0.5783578357835784,48
