actual_model,assumed_model,truth_azimuth_deg,truth_elevation_deg,estimated_azimuth_deg,estimated_elevation_deg,azimuth_error_deg,elevation_error_deg
pcb_copper_centroid,cfg_candidate,20.0,10.0,5.566697841695318,8.575922879969678,-14.43330215830468,-1.4240771200303222
pcb_copper_centroid,cfg_candidate,40.0,10.0,4.0552191740097205,21.595119422771674,-35.94478082599028,11.595119422771674
pcb_copper_centroid,cfg_candidate,60.0,10.0,-3.7970624702432754,-20.998550818382355,-63.797062470243276,-30.998550818382355
pcb_copper_centroid,cfg_candidate,-60.0,20.0,8.206178450722707,-1.4073420508300645,68.2061784507227,-21.407342050830064
pcb_copper_centroid,cfg_candidate,-40.0,20.0,-4.577359939980052,1.6612613765203963,35.422640060019944,-18.338738623479603
pcb_copper_centroid,cfg_candidate,-20.0,20.0,4.190701729268322,1.695252612162461,24.190701729268323,-18.30474738783754
pcb_copper_centroid,cfg_candidate,0.0,20.0,-6.983849776795313e-14,-29.755251016087833,-6.983849776795313e-14,-49.75525101608783
pcb_copper_centroid,cfg_candidate,20.0,20.0,-4.302207475094143,13.16902103902831,-24.302207475094143,-6.83097896097169
pcb_copper_centroid,cfg_candidate,40.0,20.0,-8.32528569391189,-19.5509897993602,-48.325285693911894,-39.550989799360195
pcb_copper_centroid,cfg_candidate,60.0,20.0,4.612276994401659,-23.889171627023217,-55.38772300559834,-43.88917162702322
rf_endpoint_candidate,ideal_half_lambda,-60.0,-20.0,-5.20112321361712,-15.878556970157938,54.79887678638288,4.121443029842062
rf_endpoint_candidate,ideal_half_lambda,-40.0,-20.0,-18.56277474440079,27.938995837544827,21.43722525559921,47.93899583754482
rf_endpoint_candidate,ideal_half_lambda,-20.0,-20.0,10.058449362915601,18.47297769423163,30.058449362915603,38.47297769423163
rf_endpoint_candidate,ideal_half_lambda,0.0,-20.0,-18.13581230640927,-7.52863667264952e-16,-18.13581230640927,20.0
rf_endpoint_candidate,ideal_half_lambda,20.0,-20.0,40.16886882741708,-18.472977694231975,20.16886882741708,1.5270223057680248
rf_endpoint_candidate,ideal_half_lambda,40.0,-20.0,31.27958715042705,-27.938995837541743,-8.720412849572948,-7.938995837541743
rf_endpoint_candidate,ideal_half_lambda,60.0,-20.0,-20.404827049158225,15.878556970158295,-80.40482704915823,35.87855697015829
rf_endpoint_candidate,ideal_half_lambda,-60.0,-10.0,-34.32963624994125,-24.02207081361865,25.670363750058748,-14.022070813618651
rf_endpoint_candidate,ideal_half_lambda,-40.0,-10.0,28.50286273246731,9.48667858785356,68.5028627324673,19.48667858785356
rf_endpoint_candidate,ideal_half_lambda,-20.0,-10.0,-7.161226482203898,-48.00761200916834,12.838773517796103,-38.00761200916834
rf_endpoint_candidate,ideal_half_lambda,0.0,-10.0,55.956543439916054,-1.0385872540757802e-14,55.956543439916054,9.99999999999999
rf_endpoint_candidate,ideal_half_lambda,20.0,-10.0,-22.810272889784752,48.007612009166856,-42.810272889784756,58.007612009166856
rf_endpoint_candidate,ideal_half_lambda,40.0,-10.0,-55.56102976217799,-9.48667858785153,-95.56102976217798,0.5133214121484695
rf_endpoint_candidate,ideal_half_lambda,60.0,-10.0,10.875555395896747,24.022070813611293,-49.12444460410325,34.02207081361129
rf_endpoint_candidate,ideal_half_lambda,-60.0,0.0,28.986396922023754,48.73701815130511,88.98639692202376,48.73701815130511
rf_endpoint_candidate,ideal_half_lambda,-40.0,0.0,-35.222052645793774,39.32472343930056,4.777947354206226,39.32472343930056
rf_endpoint_candidate,ideal_half_lambda,-20.0,0.0,20.271175522327955,10.682822005544859,40.27117552232795,10.682822005544859
rf_endpoint_candidate,ideal_half_lambda,0.0,0.0,-8.428177446126813e-17,-5.1734741533259134e-17,-8.428177446126813e-17,-5.1734741533259134e-17
rf_endpoint_candidate,ideal_half_lambda,20.0,0.0,-20.271175522327965,-10.682822005544866,-40.271175522327965,-10.682822005544866
rf_endpoint_candidate,ideal_half_lambda,40.0,0.0,35.22205264579386,-39.32472343930056,-4.777947354206141,-39.32472343930056
rf_endpoint_candidate,ideal_half_lambda,60.0,0.0,-28.986396922023754,-48.73701815130516,-88.98639692202376,-48.73701815130516
rf_endpoint_candidate,ideal_half_lambda,-60.0,10.0,-10.87555539589669,-24.02207081361131,49.12444460410331,-34.02207081361131
rf_endpoint_candidate,ideal_half_lambda,-40.0,10.0,55.561029762177945,9.486678587851582,95.56102976217795,-0.513321412148418
rf_endpoint_candidate,ideal_half_lambda,-20.0,10.0,22.810272889784752,-48.00761200916689,42.810272889784756,-58.00761200916689
rf_endpoint_candidate,ideal_half_lambda,0.0,10.0,-55.956543439916,9.537915491436479e-15,-55.956543439916,-9.999999999999991
rf_endpoint_candidate,ideal_half_lambda,20.0,10.0,7.1612264822038965,48.007612009168284,-12.838773517796103,38.007612009168284
rf_endpoint_candidate,ideal_half_lambda,40.0,10.0,-28.502862732467403,-9.48667858785362,-68.5028627324674,-19.486678587853618
rf_endpoint_candidate,ideal_half_lambda,60.0,10.0,34.32963624994127,24.022070813618605,-25.670363750058733,14.022070813618605
rf_endpoint_candidate,ideal_half_lambda,-60.0,20.0,20.404827049158257,-15.87855697015833,80.40482704915826,-35.87855697015833
rf_endpoint_candidate,ideal_half_lambda,-40.0,20.0,-31.27958715042704,27.938995837541704,8.72041284957296,7.938995837541704
rf_endpoint_candidate,ideal_half_lambda,-20.0,20.0,-40.16886882741705,18.472977694231997,-20.16886882741705,-1.5270223057680035
rf_endpoint_candidate,ideal_half_lambda,0.0,20.0,18.135812306409306,1.899896793830926e-15,18.135812306409306,-19.999999999999996
rf_endpoint_candidate,ideal_half_lambda,20.0,20.0,-10.058449362915555,-18.472977694231542,-30.058449362915553,-38.472977694231545
rf_endpoint_candidate,ideal_half_lambda,40.0,20.0,18.562774744400773,-27.938995837544827,-21.437225255599227,-47.93899583754482
rf_endpoint_candidate,ideal_half_lambda,60.0,20.0,5.201123213617125,15.87855697015792,-54.79887678638288,-4.12144302984208
rf_endpoint_candidate,pcb_copper_centroid,-60.0,-20.0,-0.004879347577014864,-0.02520365388297785,59.99512065242298,19.97479634611702
rf_endpoint_candidate,pcb_copper_centroid,-40.0,-20.0,-0.0019807346754399245,0.009033576334698003,39.99801926532456,20.009033576334698
rf_endpoint_candidate,pcb_copper_centroid,-20.0,-20.0,0.006221234034571248,0.019342376035750994,20.00622123403457,20.019342376035752
rf_endpoint_candidate,pcb_copper_centroid,0.0,-20.0,-0.004933677958367504,0.02162872066730457,-0.004933677958367504,20.021628720667305
rf_endpoint_candidate,pcb_copper_centroid,20.0,-20.0,0.008729086782308021,-0.01621744891396647,-19.991270913217694,19.983782551086033
rf_endpoint_candidate,pcb_copper_centroid,40.0,-20.0,0.004522217091371484,0.00229817768362358,-39.99547778290863,20.002298177683624
rf_endpoint_candidate,pcb_copper_centroid,60.0,-20.0,-0.004988008114271851,-0.0026954845764494448,-60.004988008114275,19.99730451542355
rf_endpoint_candidate,pcb_copper_centroid,-60.0,-10.0,-0.01234985089198165,-0.007275906392397124,59.98765014910802,9.992724093607602
rf_endpoint_candidate,pcb_copper_centroid,-40.0,-10.0,0.009444321032065866,-0.0019763430544949513,40.00944432103206,9.998023656945506
rf_endpoint_candidate,pcb_copper_centroid,-20.0,-10.0,-0.007376210620527189,-0.003274080388523835,19.992623789379472,9.996725919611476
rf_endpoint_candidate,pcb_copper_centroid,0.0,-10.0,0.015111451211978166,-0.002868129978731375,0.015111451211978166,9.997131870021269
rf_endpoint_candidate,pcb_copper_centroid,20.0,-10.0,0.0003725997216448183,-0.0015605578580822714,-19.999627400278357,9.998439442141917
rf_endpoint_candidate,pcb_copper_centroid,40.0,-10.0,-0.016447932096662902,-0.002858295191718437,-40.01644793209666,9.997141704808282
rf_endpoint_candidate,pcb_copper_centroid,60.0,-10.0,0.005346239842778108,0.0024412681289503386,-59.99465376015722,10.002441268128951
rf_endpoint_candidate,pcb_copper_centroid,-60.0,0.0,0.010557217543052333,0.009501350176511521,60.01055721754305,0.009501350176511521
rf_endpoint_candidate,pcb_copper_centroid,-40.0,0.0,-0.0025078532148248003,0.03555982664864539,39.99749214678518,0.03555982664864539
rf_endpoint_candidate,pcb_copper_centroid,-20.0,0.0,0.0077575062446307635,0.004539253784975785,20.00775750624463,0.004539253784975785
rf_endpoint_candidate,pcb_copper_centroid,0.0,0.0,1.6718038827459723e-20,4.927118241262775e-19,1.6718038827459723e-20,4.927118241262775e-19
rf_endpoint_candidate,pcb_copper_centroid,20.0,0.0,-0.007757506244630771,-0.004539253784975866,-20.00775750624463,-0.004539253784975866
rf_endpoint_candidate,pcb_copper_centroid,40.0,0.0,0.0025078532148248116,-0.035559826648645425,-39.99749214678518,-0.035559826648645425
rf_endpoint_candidate,pcb_copper_centroid,60.0,0.0,-0.010557217543052326,-0.009501350176511441,-60.01055721754305,-0.009501350176511441
rf_endpoint_candidate,pcb_copper_centroid,-60.0,10.0,-0.005346239842778098,-0.0024412681289503386,59.99465376015722,-10.002441268128951
rf_endpoint_candidate,pcb_copper_centroid,-40.0,10.0,0.01644793209666289,0.002858295191718339,40.01644793209666,-9.997141704808282
rf_endpoint_candidate,pcb_copper_centroid,-20.0,10.0,-0.0003725997216448334,0.0015605578580821686,19.999627400278357,-9.998439442141917
rf_endpoint_candidate,pcb_copper_centroid,0.0,10.0,-0.01511145121197816,0.002868129978731411,-0.01511145121197816,-9.997131870021269
rf_endpoint_candidate,pcb_copper_centroid,20.0,10.0,0.007376210620527187,0.0032740803885239374,-19.992623789379472,-9.996725919611476
rf_endpoint_candidate,pcb_copper_centroid,40.0,10.0,-0.009444321032065897,0.001976343054494888,-40.00944432103206,-9.998023656945506
rf_endpoint_candidate,pcb_copper_centroid,60.0,10.0,0.01234985089198165,0.0072759063923971065,-59.98765014910802,-9.992724093607602
rf_endpoint_candidate,pcb_copper_centroid,-60.0,20.0,0.004988008114271856,0.0026954845764494565,60.004988008114275,-19.99730451542355
rf_endpoint_candidate,pcb_copper_centroid,-40.0,20.0,-0.00452221709137149,-0.00229817768362358,39.99547778290863,-20.002298177683624
rf_endpoint_candidate,pcb_copper_centroid,-20.0,20.0,-0.008729086782308002,0.016217448913966558,19.991270913217694,-19.983782551086033
rf_endpoint_candidate,pcb_copper_centroid,0.0,20.0,0.004933677958367528,-0.021628720667304428,0.004933677958367528,-20.021628720667305
rf_endpoint_candidate,pcb_copper_centroid,20.0,20.0,-0.006221234034571231,-0.01934237603575102,-20.00622123403457,-20.019342376035752
rf_endpoint_candidate,pcb_copper_centroid,40.0,20.0,0.001980734675439924,-0.009033576334697974,-39.99801926532456,-20.009033576334698
rf_endpoint_candidate,pcb_copper_centroid,60.0,20.0,0.004879347577014856,0.025203653882977815,-59.99512065242298,-19.97479634611702
rf_endpoint_candidate,rf_endpoint_candidate,-60.0,-20.0,-0.0029080875387522457,-0.009842311787374117,59.99709191246125,19.990157688212626
rf_endpoint_candidate,rf_endpoint_candidate,-40.0,-20.0,-0.0014845427682477425,-0.0033303623324296133,39.998515457231754,19.99666963766757
rf_endpoint_candidate,rf_endpoint_candidate,-20.0,-20.0,0.005567440145783873,0.009411307554743098,20.005567440145782,20.009411307554743
rf_endpoint_candidate,rf_endpoint_candidate,0.0,-20.0,-0.008945506241883321,-2.5069038408021406e-05,-0.008945506241883321,19.999974930961592
rf_endpoint_candidate,rf_endpoint_candidate,20.0,-20.0,0.011022571483285852,0.007662621400797788,-19.988977428516716,20.007662621400797
rf_endpoint_candidate,rf_endpoint_candidate,40.0,-20.0,0.0029125900823608894,0.007787683080731226,-39.99708740991764,20.007787683080732
rf_endpoint_candidate,rf_endpoint_candidate,60.0,-20.0,-0.00398058143792919,-0.008264746436080434,-60.00398058143793,19.99173525356392
rf_endpoint_candidate,rf_endpoint_candidate,-60.0,-10.0,-0.01493317483291838,-0.01200406474410448,59.98506682516708,9.987995935255896
rf_endpoint_candidate,rf_endpoint_candidate,-40.0,-10.0,0.011935853562141444,0.00822246996634816,40.01193585356214,10.008222469966348
rf_endpoint_candidate,rf_endpoint_candidate,-20.0,-10.0,-0.011165475729231853,-0.004223333197091771,19.988834524270768,9.995776666802909
rf_endpoint_candidate,rf_endpoint_candidate,0.0,-10.0,0.01779555643848683,0.015323577672920299,0.01779555643848683,10.01532357767292
rf_endpoint_candidate,rf_endpoint_candidate,20.0,-10.0,0.003958846710986124,-0.004817957671697951,-19.996041153289013,9.995182042328302
rf_endpoint_candidate,rf_endpoint_candidate,40.0,-10.0,-0.01914248351236098,-0.017263761058636248,-40.01914248351236,9.982736238941364
