case_id,frame,time_s,model,facet_count,dominant_azimuth_deg,dominant_elevation_deg,estimated_azimuth_deg,estimated_elevation_deg,azimuth_error_to_dominant_deg,elevation_error_to_dominant_deg,score
ss0_flat,12,6.0,provisional_pcb_endpoint,32,71.56505117707799,-8.984876931685683,60.0,-7.0,-11.56505117707799,1.9848769316856831,0.2931511024967322
ss0_flat,13,6.5,ideal_half_lambda,32,-11.309932474020213,-5.600409184816617,-15.0,-2.0,-3.690067525979787,3.600409184816617,0.5322636577272332
ss0_flat,13,6.5,provisional_pcb_endpoint,32,-11.309932474020213,-5.600409184816617,-12.0,-2.0,-0.6900675259797868,3.600409184816617,0.4963882229227501
ss0_flat,14,7.0,ideal_half_lambda,32,-60.94539590092286,-2.780344598212757,24.0,-1.0,84.94539590092286,1.780344598212757,0.46862663371867586
ss0_flat,14,7.0,provisional_pcb_endpoint,32,-60.94539590092286,-2.780344598212757,15.0,1.0,75.94539590092286,3.780344598212757,0.4678711898338153
ss0_flat,15,7.5,ideal_half_lambda,32,71.56505117707799,-8.984876931685683,60.0,-4.0,-11.56505117707799,4.984876931685683,0.5146632908238692
ss0_flat,15,7.5,provisional_pcb_endpoint,32,71.56505117707799,-8.984876931685683,31.0,-3.0,-40.56505117707799,5.984876931685683,0.3106229101924093
ss0_flat,16,8.0,ideal_half_lambda,32,81.86989764584403,-4.044691235386268,60.0,-3.0,-21.869897645844034,1.044691235386268,0.44038279269591457
ss0_flat,16,8.0,provisional_pcb_endpoint,32,81.86989764584403,-4.044691235386268,30.0,-2.0,-51.869897645844034,2.044691235386268,0.5183349352529311
ss0_flat,17,8.5,ideal_half_lambda,32,-60.94539590092286,-2.780344598212757,60.0,-1.0,120.94539590092286,1.780344598212757,0.38974482157621987
ss0_flat,17,8.5,provisional_pcb_endpoint,32,-60.94539590092286,-2.780344598212757,-50.0,1.0,10.945395900922861,3.780344598212757,0.37299650416061225
ss0_flat,18,9.0,ideal_half_lambda,32,81.86989764584403,-4.044691235386268,60.0,-2.0,-21.869897645844034,2.044691235386268,0.6065878666211291
ss0_flat,18,9.0,provisional_pcb_endpoint,32,81.86989764584403,-4.044691235386268,58.0,-4.0,-23.869897645844034,0.04469123538626807,0.3609155834977028
ss0_flat,19,9.5,ideal_half_lambda,32,81.86989764584403,-4.044691235386268,-10.0,-2.0,-91.86989764584403,2.044691235386268,0.5069211624439917
