roll_offset_deg,pitch_offset_deg,yaw_offset_deg,antenna,displacement_from_nominal_mm
2.0,-2.0,5.0,TX3,5.150146913637015
2.0,-2.0,5.0,TX4,5.76519286177855
2.0,0.0,-5.0,RX1,7.678900411627888
2.0,0.0,-5.0,RX2,7.84462836520236
2.0,0.0,-5.0,RX3,8.010357166113918
2.0,0.0,-5.0,RX4,8.176087192470236
2.0,0.0,-5.0,TX1,8.771863428881097
2.0,0.0,-5.0,TX2,9.222996220565513
2.0,0.0,-5.0,TX3,9.45547608017967
2.0,0.0,-5.0,TX4,10.139099197615446
2.0,0.0,0.0,RX1,2.916737955525536
2.0,0.0,0.0,RX2,2.916737955525536
2.0,0.0,0.0,RX3,2.916737955525536
2.0,0.0,0.0,RX4,2.916737955525536
2.0,0.0,0.0,TX1,2.921147227030081
2.0,0.0,0.0,TX2,3.0305738181842328
2.0,0.0,0.0,TX3,2.921147227030081
2.0,0.0,0.0,TX4,2.921147227030081
2.0,0.0,5.0,RX1,1.855706883987786
2.0,0.0,5.0,RX2,2.021045306047347
2.0,0.0,5.0,RX3,2.186446405799591
2.0,0.0,5.0,RX4,2.3518973551103497
2.0,0.0,5.0,TX1,2.9381512275650064
2.0,0.0,5.0,TX2,3.170638564242533
2.0,0.0,5.0,TX3,3.621236230750605
2.0,0.0,5.0,TX4,4.304513420827946
2.0,2.0,-5.0,RX1,8.514265617128503
2.0,2.0,-5.0,RX2,8.681621265667232
2.0,2.0,-5.0,RX3,8.849411520381468
2.0,2.0,-5.0,RX4,9.017612557295083
2.0,2.0,-5.0,TX1,9.626299616917525
2.0,2.0,-5.0,TX2,10.112409826830497
2.0,2.0,-5.0,TX3,10.32854859815789
2.0,2.0,-5.0,TX4,11.035222759532424
2.0,2.0,0.0,RX1,4.564763324058382
2.0,2.0,0.0,RX2,4.593587357451853
2.0,2.0,0.0,RX3,4.623183050190784
2.0,2.0,0.0,RX4,4.6535357577950895
2.0,2.0,0.0,TX1,4.773220287069151
2.0,2.0,0.0,TX2,4.976786675010164
2.0,2.0,0.0,TX3,4.916047878203863
2.0,2.0,0.0,TX4,5.0696232302671795
2.0,2.0,5.0,RX1,4.119569820575608
2.0,2.0,5.0,RX2,4.232845111912795
2.0,2.0,5.0,RX3,4.350495398662275
2.0,2.0,5.0,RX4,4.472175714748377
2.0,2.0,5.0,TX1,4.934854499959101
2.0,2.0,5.0,TX2,5.220164952017732
2.0,2.0,5.0,TX3,5.512371547760568
2.0,2.0,5.0,TX4,6.124021930357867
