ID,X,Y,ROTATION,PATTERN,SOURCEDESIGNATOR,SOURCEDESCRIPTION,SOURCEFOOTPRINTLIBRARY,SOURCELIBREFERENCE,rf_name_candidate,status
222,5228.9627mil,4435.2125mil, 0.00000000000000E+0000,0402L,C92,"CAP, CERM, 0.22 �F, 16 V,+/- 10%, X7R, AEC-Q200 Grade 1, 0402",Vault,CMP-0078265-1,False,inventory_only
223,4952.0681mil,6639.1953mil, 0.00000000000000E+0000,0402L,C93,"CAP, CERM, 15 pF, 50 V,+/- 1%, C0G/NP0, 0402",Vault,CMP-0078217-1,False,inventory_only
224,4952.0681mil,6691.0505mil, 0.00000000000000E+0000,0402_065L,C94,"CAP, CERM, 2.2 uF, 10 V, +/- 10%, X7S, 0402",Vault,CMP-0006302-2,False,inventory_only
225,5373.2mil,4297.5428mil, 9.00000000000000E+0001,0402L,C96,"CAP, CERM, 0.22 �F, 16 V,+/- 10%, X7R, AEC-Q200 Grade 1, 0402",Vault,CMP-0078265-1,False,inventory_only
226,3715.9224mil,6353.0091mil, 0.00000000000000E+0000,0402L,C97,"CAP, CERM, 0.1 �F, 10 V,+/- 10%, X7R, 0402",Vault,CMP-0078241-1,False,inventory_only
227,5879.4848mil,3425.9872mil, 1.80000000000000E+0002,0402L,C98,"CAP, CERM, 0.1 �F, 10 V,+/- 10%, X7R, 0402",Vault,CMP-0078241-1,False,inventory_only
228,5681.8331mil,2723.939mil, 9.00000000000000E+0001,SM_RADIAL_6.3BMM,C99,"CAP, Polymer Hybrid, 68 uF, 35 V, +/- 20%, 35 ohm, 6.3x7.7 SMD",Vault,CMP-0012608-3,False,inventory_only
229,5921.6972mil,2773.1141mil, 1.80000000000000E+0002,1206_180L,C100,"CAP, CERM, 4.7 uF, 50 V, +/- 10%, X7R, 1206",Vault,CMP-0008702-2,False,inventory_only
230,5681.8331mil,2723.939mil, 9.00000000000000E+0001,1206_180L,C101,"CAP, CERM, 4.7 uF, 50 V, +/- 10%, X7R, 1206",Vault,CMP-0008702-2,False,inventory_only
231,5687.7387mil,4551.2394mil, 2.70000000000000E+0002,FP-GRT155R70J105KE01D_0402-MFG,C102,1�F �10% 6.3V Ceramic Capacitor X7R 0402 (1005 Metric),Vault,CMP-0088425-1,False,inventory_only
232,5637.7174mil,4501.6929mil, 2.70000000000000E+0002,FP-GRT155R70J105KE01D_0402-MFG,C103,1�F �10% 6.3V Ceramic Capacitor X7R 0402 (1005 Metric),Vault,CMP-0088425-1,False,inventory_only
233,5992.0738mil,2270.2405mil, 2.70000000000000E+0002,0603L,C104,"CAP, CERM, 0.1 uF, 50 V, +/- 10%, X8R, AEC-Q200 Grade 0, 0603",Vault,CMP-0007104-4,False,inventory_only
234,3443.6336mil,3318.8345mil, 9.00000000000000E+0001,0402L,C105,"CAP, CERM, 0.1 uF, 16 V, +/- 10%, X7R, 0402",Vault,CMP-0006351-2,False,inventory_only
235,5812.4284mil,4702.9288mil, 0.00000000000000E+0000,0402L,C106,"CAP, CERM, 3.9 pF, 50 V, +/- 5%, C0G/NP0, 0402",Vault,CMP-0006464-2,False,inventory_only
236,5410.1284mil,4600.234mil, 0.00000000000000E+0000,0402L,C107,"CAP, CERM, 0.22 �F, 16 V,+/- 10%, X7R, AEC-Q200 Grade 1, 0402",Vault,CMP-0078265-1,False,inventory_only
237,5909.6681mil,4703.1351mil, 1.80000000000000E+0002,0402L,C108,"CAP, CERM, 3.9 pF, 50 V, +/- 5%, C0G/NP0, 0402",Vault,CMP-0006464-2,False,inventory_only
238,6129.3187mil,3024.5007mil, 9.00000000000000E+0001,0402L,C109,"CAP, CERM, 0.01 �F, 16 V,+/- 10%, X7R, 0402",Vault,CMP-0078218-1,False,inventory_only
239,5807.1058mil,4392.6409mil, 0.00000000000000E+0000,0805L,C110,"CAP, CERM, 10 uF, 10 V, +/- 10%, X7R, 0805",Vault,CMP-0008017-2,False,inventory_only
240,5729.1975mil,4593.8041mil, 1.80000000000000E+0002,0402L,C111,"CAP, CERM, 0.22 �F, 16 V,+/- 10%, X7R, AEC-Q200 Grade 1, 0402",Vault,CMP-0078265-1,False,inventory_only
241,5521.279mil,4743.9602mil, 9.00000000000000E+0001,0805L,C112,"CAP, CERM, 10 uF, 10 V, +/- 10%, X7R, 0805",Vault,CMP-0008017-2,False,inventory_only
242,5516.8206mil,4600.2138mil, 9.00000000000000E+0001,0402L,C113,"CAP, CERM, 0.22 �F, 16 V,+/- 10%, X7R, AEC-Q200 Grade 1, 0402",Vault,CMP-0078265-1,False,inventory_only
243,5618.3598mil,4624.8269mil, 9.00000000000000E+0001,0805L,C114,"CAP, CERM, 10 uF, 10 V, +/- 10%, X7R, 0805",Vault,CMP-0008017-2,False,inventory_only
244,5564.284mil,4629.623mil, 2.70000000000000E+0002,0402L,C115,"CAP, CERM, 0.22 �F, 16 V,+/- 10%, X7R, AEC-Q200 Grade 1, 0402",Vault,CMP-0078265-1,False,inventory_only
245,5825.5342mil,4515.0374mil, 9.00000000000000E+0001,0805L,C116,"CAP, CERM, 10 uF, 10 V, +/- 10%, X7R, 0805",Vault,CMP-0008017-2,False,inventory_only
246,5763.6856mil,4522.2386mil, 2.70000000000000E+0002,0402L,C117,"CAP, CERM, 0.22 �F, 16 V,+/- 10%, X7R, AEC-Q200 Grade 1, 0402",Vault,CMP-0078265-1,False,inventory_only
247,5392.984mil,2572.874mil, 2.70000000000000E+0002,FP-CGA4J1X7R1H475K125AC_0805-MFG,C118,Cap Ceramic 4.7uF 50V X7R 10% Pad SMD 0805 +125�C Automotive T/R,Vault,CMP-0090082-1,False,inventory_only
