ID,X,Y,ROTATION,PATTERN,SOURCEDESIGNATOR,SOURCEDESCRIPTION,SOURCEFOOTPRINTLIBRARY,SOURCELIBREFERENCE,rf_name_candidate,status
313,4622.6857mil,4519.2635mil, 1.80000000000000E+0002,0603L,C192,"CAP, CERM, 1 uF, 16 V, +/- 10%, X7R, AEC-Q200 Grade 1, 0603",Vault,CMP-0007136-5,False,inventory_only
314,4612.9896mil,4652.6481mil, 1.80000000000000E+0002,0402L,C193,"CAP, CERM, 0.1 uF, 10 V, +/- 10%, X7R, AEC-Q200 Grade 1, 0402",Vault,CMP-0006350-2,False,inventory_only
315,5294.5088mil,2540.0196mil, 1.80000000000000E+0002,0603L,C195,"CAP, CERM, 0.22 uF, 50 V, +/- 10%, X7R, AEC-Q200 Grade 1, 0603",Vault,CMP-0007094-5,False,inventory_only
316,4606.8441mil,6549.745mil, 2.70000000000000E+0002,TLMx1000_Yellow,D1,"LED, Yellow, SMD",Vault,CMP-0078196-2,False,inventory_only
317,6125.1326mil,2276.8251mil, 9.00000000000000E+0001,SOD-123,D3,"Diode, TVS, Bi, 28 V, 45.4 Vc, AEC-Q101, SOD-123",Vault,CMP-0005735-3,False,inventory_only
318,3402.6456mil,3322.2797mil, 9.00000000000000E+0001,SOD-882,D4,"Diode, Schottky,  V, 0.01 A, SOD-882",Vault,CMP-0078187-3,False,inventory_only
319,4948.1512mil,6102.1303mil, 2.70000000000000E+0002,SOD-882,D5,"Diode, Schottky,  V, 0.01 A, SOD-882",Vault,CMP-0078187-3,False,inventory_only
320,6400.1596mil,4196.007mil, 9.00000000000000E+0001,SML_Green_0805,D6,"LED, Green, SMD",Vault,CMP-0003042-3,False,inventory_only
321,3860.3091mil,5178.5182mil, 1.80000000000000E+0002,LS L29K_Red,D7,"LED, Red, SMD",Vault,CMP-0002902-2,False,inventory_only
322,3605.6842mil,4133.6147mil, 1.80000000000000E+0002,LS L29K_Red,D8,"LED, Red, SMD",Vault,CMP-0002902-2,False,inventory_only
323,5015.6777mil,6143.3173mil, 9.00000000000000E+0001,SML-E1_Yellow,D9,"LED, Yellow, SMD",Vault,CMP-0002977-3,False,inventory_only
324,6119.6285mil,2556.216mil, 2.70000000000000E+0002,SMAF,D11,"Diode, Schottky, 30 V, 5 A, AEC-Q101, SMAF",Vault,CMP-0028823-2,False,inventory_only
325,5446.0775mil,2235.7917mil, 2.70000000000000E+0002,SML_Green_0805,D12,"LED, Green, SMD",Vault,CMP-0003042-3,False,inventory_only
326,3600.142mil,3773.8988mil, 9.00000000000000E+0001,SML-E1_Yellow,D13,"LED, Yellow, SMD",Vault,CMP-0002977-3,False,inventory_only
327,4461.7654mil,2932.2072mil, 0.00000000000000E+0000,SML_Green_0805,D16,"LED, Green, SMD",Vault,CMP-0003042-3,False,inventory_only
328,4518.2459mil,3402.0278mil, 0.00000000000000E+0000,LS L29K_Red,DS2,"LED, Red, SMD",Vault,CMP-0002902-2,False,inventory_only
329,5867.6782mil,4118.1889mil, 9.00000000000000E+0001,Fiducial10-20,FID1,Fiducial mark.  There is nothing to buy or mount.,Vault,CMP-0077181-1,False,inventory_only
330,5305.3948mil,4678.5038mil, 9.00000000000000E+0001,Fiducial10-20,FID2,Fiducial mark.  There is nothing to buy or mount.,Vault,CMP-0077181-1,False,inventory_only
331,3494.2184mil,2333.9592mil, 9.00000000000000E+0001,Fiducial10-20,FID3,Fiducial mark.  There is nothing to buy or mount.,Vault,CMP-0077181-1,False,inventory_only
332,3494.2184mil,2333.9592mil, 9.00000000000000E+0001,Fiducial10-20,FID4,Fiducial mark.  There is nothing to buy or mount.,Vault,CMP-0077181-1,False,inventory_only
333,5734.218mil,2333.9593mil, 9.00000000000000E+0001,Fiducial10-20,FID5,Fiducial mark.  There is nothing to buy or mount.,Vault,CMP-0077181-1,False,inventory_only
334,5734.218mil,2333.9593mil, 9.00000000000000E+0001,Fiducial10-20,FID6,Fiducial mark.  There is nothing to buy or mount.,Vault,CMP-0077181-1,False,inventory_only
335,3587.6698mil,7130.8499mil, 9.00000000000000E+0001,Fiducial10-20,FID7,Fiducial mark.  There is nothing to buy or mount.,Vault,CMP-0077181-1,False,inventory_only
336,3587.6698mil,7130.8499mil, 9.00000000000000E+0001,Fiducial10-20,FID8,Fiducial mark.  There is nothing to buy or mount.,Vault,CMP-0077181-1,False,inventory_only
337,3587.6697mil,1858.4103mil, 9.00000000000000E+0001,Fiducial10-20,FID13,Fiducial mark.  There is nothing to buy or mount.,Vault,CMP-0077181-1,False,inventory_only
338,3494.2185mil,6854.1768mil, 9.00000000000000E+0001,Fiducial10-20,FID10,Fiducial mark.  There is nothing to buy or mount.,Vault,CMP-0077181-1,False,inventory_only
339,3587.6697mil,1858.4103mil, 9.00000000000000E+0001,Fiducial10-20,FID12,Fiducial mark.  There is nothing to buy or mount.,Vault,CMP-0077181-1,False,inventory_only
340,3494.2185mil,6854.1768mil, 9.00000000000000E+0001,Fiducial10-20,FID9,Fiducial mark.  There is nothing to buy or mount.,Vault,CMP-0077181-1,False,inventory_only
341,6434.12mil,1858.41mil, 9.00000000000000E+0001,Fiducial10-20,FID15,Fiducial mark.  There is nothing to buy or mount.,Vault,CMP-0077181-1,False,inventory_only
342,6434.12mil,7130.8498mil, 9.00000000000000E+0001,Fiducial10-20,FID14,Fiducial mark.  There is nothing to buy or mount.,Vault,CMP-0077181-1,False,inventory_only
343,6434.12mil,1858.41mil, 9.00000000000000E+0001,Fiducial10-20,FID16,Fiducial mark.  There is nothing to buy or mount.,Vault,CMP-0077181-1,False,inventory_only
344,6434.12mil,7130.8498mil, 9.00000000000000E+0001,Fiducial10-20,FID11,Fiducial mark.  There is nothing to buy or mount.,Vault,CMP-0077181-1,False,inventory_only
345,3945.0111mil,2217.8999mil, 1.80000000000000E+0002,FP-OSTTF030161_PTH_TERMINAL_BLOCK-MFG,J2,"3 Position Wire to Board Terminal Block Vertical with Board 0.138"" (3.50mm) Through Hole",Vault,CMP-0091742-1,False,inventory_only
346,4463.6mil,2218.2871mil, 1.80000000000000E+0002,FP-OSTTF030161_PTH_TERMINAL_BLOCK-MFG,J3,"3 Position Wire to Board Terminal Block Vertical with Board 0.138"" (3.50mm) Through Hole",Vault,CMP-0091742-1,False,inventory_only
347,3847.9584mil,2950.8mil, 0.00000000000000E+0000,Samtec_QSH-030-01-X-D-A,J7,"Receptacle, 0.5 mm, 30x2, Gold, TH",Vault,CMP-0075524-1,False,inventory_only
348,6573.8839mil,3524.4201mil, 2.70000000000000E+0002,CONN_105017-0001,J8,"Connector, Receptacle, Micro-USB Type B, R/A, Bottom Mount SMT",Vault,CMP-0055293-1,False,inventory_only
349,3616.9239mil,4575.1214mil, 9.00000000000000E+0001,FP-LPJG16414A4NL_CONN_RJ45-MFG,J9,RJ45 Connector with 1000 Base-TX Inetgrated Magnetic,Vault,CMP-0088394-1,False,inventory_only
350,3447.9058mil,6408.4016mil, 9.00000000000000E+0001,CONN_105017-0001,J10,"Connector, Receptacle, Micro-USB Type B, R/A, Bottom Mount SMT",Vault,CMP-0055293-1,False,inventory_only
351,6428.2447mil,2349.677mil, 0.00000000000000E+0000,CUI_PJ-063AH,J12,"DC POWER JACK, R/A, TH",Vault,CMP-0079472-1,False,inventory_only
352,6499.9126mil,4202.6059mil, 9.00000000000000E+0001,142-0711-201,J13,"Connector, SMA Jack, Vertical, Gold, SMD",Vault,CMP-0055823-2,False,inventory_only
353,6559.952mil,4193.4698mil, 9.00000000000000E+0001,Johnson_128-0711-201,J14,"UMC Straight Jack Receptacle, 50 Ohm, Gold, SMT",Vault,CMP-0055788-1,False,inventory_only
354,6335.5023mil,3132.8073mil, 0.00000000000000E+0000,Samtec_TSM-103-01-x-DV,J16,"Header, 2.54mm, 3x2, Gold, SMT",Vault,CMP-0075648-2,False,inventory_only
355,4894.5015mil,2205.0696mil, 9.00000000000000E+0001,TSW-102-07-G-S,J17,"Header, 100mil, 2x1, Gold, TH",Vault,CMP-0075405-3,False,inventory_only
356,5124.3108mil,2200.5251mil, 9.00000000000000E+0001,TSW-102-07-G-S,J18,"Header, 100mil, 2x1, Gold, TH",Vault,CMP-0075405-3,False,inventory_only
357,3847.9584mil,3673.3196mil, 0.00000000000000E+0000,Samtec_QSH-030-01-X-D-A,J19,"Receptacle, 0.5 mm, 30x2, Gold, TH",Vault,CMP-0075524-1,False,inventory_only
358,5345.5685mil,2205.2712mil, 9.00000000000000E+0001,TSW-102-07-G-S,J20,"Header, 100mil, 2x1, Gold, TH",Vault,CMP-0075405-3,False,inventory_only
359,5946.572mil,2712.584mil, 1.80000000000000E+0002,Sullins_GBC01SFBN-M30,J21,"Header, 1x1, Gold, SMT",Vault,CMP-0084373-1,False,inventory_only
360,4775.8982mil,2815.853mil, 0.00000000000000E+0000,Sullins_GBC01SFBN-M30,J22,"Header, 1x1, Gold, SMT",Vault,CMP-0084373-1,False,inventory_only
361,6610.2528mil,2811.7586mil, 9.00000000000000E+0001,Sullins_GBC01SFBN-M30,J23,"Header, 1x1, Gold, SMT",Vault,CMP-0084373-1,False,inventory_only
362,4661.2976mil,3234.9478mil, 2.70000000000000E+0002,FP-TFM201610ALMAR24MTAA_0806 (2016 Metric)-MFG,L2,240nH Shielded Thin Film Inductor 5A 23mOhm Max 0806 (2016 Metric),Vault,CMP-0091696-1,False,inventory_only
363,3921.4577mil,6243.2934mil, 0.00000000000000E+0000,0402L,L3,"Ferrite Bead, 600 ohm @ 100 MHz, 0.3 A, 0402",Vault,CMP-0081523-1,False,inventory_only
364,3922.2057mil,6341.7186mil, 0.00000000000000E+0000,0402L,L4,"Ferrite Bead, 600 ohm @ 100 MHz, 0.3 A, 0402",Vault,CMP-0081523-1,False,inventory_only
365,5924.8367mil,2635.9404mil, 1.80000000000000E+0002,FP-XAL4030-472MEC_SMD2-MFG,L5,"Power Inductor (SMD), 4.7 �H, 5.1 A, Shielded, 4.5 A, XAL40xx Series, 4mm x 4mm x 3.1mm",Vault,CMP-0089502-2,False,inventory_only
366,5125.6183mil,2634.1616mil, 9.00000000000000E+0001,XEL4030_310,L6,"Inductor, Shielded, Composite, 2.2 uH, 6.1 A, 0.0201 ohm, AEC-Q200 Grade 1, SMD",Vault,CMP-0061088-1,False,inventory_only
367,4627.6461mil,5592.4513mil, 1.80000000000000E+0002,FP-ACT1210L-201-2P-TL00_SMD4-MFG,L7,200�H @ 100kHz 2 Line Common Mode Choke Surface Mount 70mA DCR 5.5Ohm,Vault,CMP-0089334-1,False,inventory_only
368,4681.1794mil,3678.2707mil, 9.00000000000000E+0001,FP-TFM201610ALMAR24MTAA_0806 (2016 Metric)-MFG,L8,240nH Shielded Thin Film Inductor 5A 23mOhm Max 0806 (2016 Metric),Vault,CMP-0091696-1,False,inventory_only
369,4964.4722mil,3673.4431mil, 9.00000000000000E+0001,FP-TFM201610ALMAR24MTAA_0806 (2016 Metric)-MFG,L9,240nH Shielded Thin Film Inductor 5A 23mOhm Max 0806 (2016 Metric),Vault,CMP-0091696-1,False,inventory_only
370,7434.9324mil,13246.2944mil, 9.00000000000000E+0001,FCC_disclaimer,Logo3,FCC_disclaimer,Vault,CMP-0074847-1,False,inventory_only
371,3889.8366mil,6604.5165mil, 2.70000000000000E+0002,TSW-102-07-G-S,P1,"Header, 100mil, 2x1, Gold, TH",Vault,CMP-0075405-3,False,inventory_only
372,3483.9226mil,3741.4167mil, 0.00000000000000E+0000,SOT-23,Q1,"MOSFET, N-CH, 100 V, 0.17 A, SOT-23",Vault,CMP-0000947-2,False,inventory_only
373,5101.8935mil,2349.0552mil, 1.80000000000000E+0002,0402L,R1,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
374,5202.55mil,2409.356mil, 9.00000000000000E+0001,0402L,R2,"RES, 7.50 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026555-2,False,inventory_only
375,5221.7063mil,4377.3081mil, 0.00000000000000E+0000,0402L,R3,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
376,5389.6352mil,2393.6076mil, 1.80000000000000E+0002,0402L,R4,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
377,6075.121mil,3232.8068mil, 0.00000000000000E+0000,0402L,R5,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
378,5311.9988mil,2429.041mil, 2.70000000000000E+0002,0402L,R6,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
379,5341.5464mil,2498.3338mil, 1.80000000000000E+0002,0402L,R7,"RES, 10.0 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0025958-3,False,inventory_only
380,5288.3968mil,2518.0188mil, 9.00000000000000E+0001,0402L,R8,"RES, 10.0 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0025958-3,False,inventory_only
381,5222.2351mil,2293.8746mil, 0.00000000000000E+0000,0402L,R9,"RES, 10.0 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0025958-3,False,inventory_only
382,5222.2351mil,2330.7358mil, 1.80000000000000E+0002,0402L,R10,"RES, 10.0 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0025958-3,False,inventory_only
383,4388.5945mil,2776.9065mil, 2.70000000000000E+0002,0402L,R11,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
384,4538.5946mil,2776.9065mil, 2.70000000000000E+0002,0402L,R12,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
385,4855.2905mil,3389.9785mil, 9.00000000000000E+0001,0402L,R13,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
386,3899.7418mil,2334.1335mil, 0.00000000000000E+0000,0402L,R15,"RES, 61.9, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026491-2,False,inventory_only
387,4104.6053mil,2634.7435mil, 1.80000000000000E+0002,0402L,R16,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
388,4897.7854mil,3389.9784mil, 9.00000000000000E+0001,0402L,R17,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
389,4014.4992mil,2441.7232mil, 0.00000000000000E+0000,0402L,R18,"RES, 10.0 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0025958-3,False,inventory_only
390,4014.4993mil,2407.9903mil, 1.80000000000000E+0002,0402L,R19,"RES, 10.0 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0025958-3,False,inventory_only
391,4588.3479mil,3693.5191mil, 9.00000000000000E+0001,0402L,R20,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
392,4014.4992mil,2508.3843mil, 0.00000000000000E+0000,0402L,R21,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
393,5226.7164mil,4054.6905mil, 9.00000000000000E+0001,0402L,R22,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
394,3990.2812mil,2334.1335mil, 0.00000000000000E+0000,0402L,R24,"RES, 61.9, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026491-2,False,inventory_only
395,4163.6603mil,2526.1008mil, 1.80000000000000E+0002,0402L,R25,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
396,4272.1368mil,3000.5774mil, 2.70000000000000E+0002,0402L,R26,"RES, 10.2, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0025964-3,False,inventory_only
397,3962.695mil,2724.4902mil, 1.80000000000000E+0002,0402L,R27,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
398,4284.2172mil,5115.0041mil, 0.00000000000000E+0000,0603L,R28,"RES, 0, 1%, 0.1 W, AEC-Q200 Grade 0, 0603",Vault,CMP-0023343-3,False,inventory_only
399,3962.695mil,2774.6772mil, 1.80000000000000E+0002,0402L,R29,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
400,4298.2276mil,3139.812mil, 1.80000000000000E+0002,1206L,R30,"RES, 0.001, 1%, 1 W, AEC-Q200 Grade 0, 1206",Vault,CMP-0017253-2,False,inventory_only
401,4325.5839mil,3000.5774mil, 2.70000000000000E+0002,0402L,R32,"RES, 10.2, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0025964-3,False,inventory_only
402,4663.0513mil,4136.5056mil, 9.00000000000000E+0001,0402L,R33,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
403,4500.5542mil,5074.399mil, 0.00000000000000E+0000,0402L,R34,"RES, 2.2 k, 5%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026890-5,False,inventory_only
404,4712.4219mil,4136.5056mil, 9.00000000000000E+0001,0402L,R35,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
405,5079.1644mil,4135.9487mil, 0.00000000000000E+0000,0402L,R37,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
406,4978.1004mil,4407.7751mil, 1.80000000000000E+0002,0402L,R38,"RES, 47.5 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026395-2,False,inventory_only
407,4947.7853mil,4490.7425mil, 2.70000000000000E+0002,FP-ERJ-1GNF33R2C_0201-MFG,R39,Res Thick Film 0201 33.2 Ohm 1% 0.05W(1/20W) �200ppm/C Pad SMD Automotive T/R,Vault,CMP-0089575-2,False,inventory_only
408,4947.7854mil,4106.3729mil, 2.70000000000000E+0002,FP-ERJ-1GNF33R2C_0201-MFG,R40,Res Thick Film 0201 33.2 Ohm 1% 0.05W(1/20W) �200ppm/C Pad SMD Automotive T/R,Vault,CMP-0089575-2,False,inventory_only
409,4947.7854mil,4107.3845mil, 9.00000000000000E+0001,0402L,R41,"RES, 10.0 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0025958-3,False,inventory_only
410,4897.4811mil,4490.7425mil, 2.70000000000000E+0002,FP-ERJ-1GNF33R2C_0201-MFG,R42,Res Thick Film 0201 33.2 Ohm 1% 0.05W(1/20W) �200ppm/C Pad SMD Automotive T/R,Vault,CMP-0089575-2,False,inventory_only
411,4897.4811mil,4472.8685mil, 2.70000000000000E+0002,0402L,R43,"RES, 10.0 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0025958-3,False,inventory_only
412,4897.7854mil,4106.3729mil, 2.70000000000000E+0002,FP-ERJ-1GNF33R2C_0201-MFG,R44,Res Thick Film 0201 33.2 Ohm 1% 0.05W(1/20W) �200ppm/C Pad SMD Automotive T/R,Vault,CMP-0089575-2,False,inventory_only
413,4831.8681mil,4107.514mil, 2.70000000000000E+0002,FP-ERJ-1GNF33R2C_0201-MFG,R45,Res Thick Film 0201 33.2 Ohm 1% 0.05W(1/20W) �200ppm/C Pad SMD Automotive T/R,Vault,CMP-0089575-2,False,inventory_only
414,5012.4825mil,4020.2789mil, 1.80000000000000E+0002,0402L,R47,"RES, 10.2, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0025964-3,False,inventory_only
415,4515.781mil,5405.4553mil, 0.00000000000000E+0000,0603L,R48,"RES, 0, 1%, 0.1 W, AEC-Q200 Grade 0, 0603",Vault,CMP-0023343-3,False,inventory_only
416,4947.7853mil,4472.8685mil, 2.70000000000000E+0002,0402L,R49,"RES, 10.0 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0025958-3,False,inventory_only
417,4500.5543mil,5209.5922mil, 1.80000000000000E+0002,0402L,R50,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
418,4500.5543mil,5209.5922mil, 1.80000000000000E+0002,0402L,R51,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
419,3590.5815mil,2480.4969mil, 0.00000000000000E+0000,0402L,R52,"RES, 3.3 k, 5%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026918-5,False,inventory_only
420,4325.4319mil,2612.0845mil, 2.70000000000000E+0002,0402L,R53,"RES, 4.7 k, 5%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026938-5,False,inventory_only
421,4258.9429mil,2617.7227mil, 2.70000000000000E+0002,0402L,R54,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
422,3590.5815mil,2426.6612mil, 1.80000000000000E+0002,0402L,R55,"RES, 33 k, 5%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026907-3,False,inventory_only
423,4201.1664mil,3604.4293mil, 2.70000000000000E+0002,0402L,R56,"RES, 10.2, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0025964-3,False,inventory_only
424,4055.4707mil,3322.398mil, 1.80000000000000E+0002,0402L,R57,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
425,6121.8345mil,4292.3631mil, 1.80000000000000E+0002,0402L,R58,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
426,6120.767mil,4240.9873mil, 1.80000000000000E+0002,0402L,R59,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
427,5130.1187mil,3990.3528mil, 9.00000000000000E+0001,1206L,R60,"RES, 0.001, 1%, 1 W, AEC-Q200 Grade 0, 1206",Vault,CMP-0017253-2,False,inventory_only
428,6595.8835mil,3232.8078mil, 0.00000000000000E+0000,0402L,R61,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
429,4055.4707mil,3263.3428mil, 1.80000000000000E+0002,0402L,R62,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
430,5038.2656mil,3571.444mil, 0.00000000000000E+0000,0402L,R63,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
431,4226.8886mil,3706.814mil, 1.80000000000000E+0002,1206L,R64,"RES, 0.001, 1%, 1 W, AEC-Q200 Grade 0, 1206",Vault,CMP-0017253-2,False,inventory_only
432,5012.4825mil,3968.5865mil, 1.80000000000000E+0002,0402L,R65,"RES, 10.2, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0025964-3,False,inventory_only
433,4251.2064mil,3604.4293mil, 2.70000000000000E+0002,0402L,R66,"RES, 10.2, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0025964-3,False,inventory_only
434,5206.2733mil,3681.1504mil, 1.80000000000000E+0002,0402L,R14,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
435,3441.9239mil,4122.726mil, 9.00000000000000E+0001,0402L,R68,"RES, 220, 5%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026878-3,False,inventory_only
436,3657.7616mil,4992.595mil, 0.00000000000000E+0000,0402L,R69,"RES, 220, 5%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026878-3,False,inventory_only
437,4328.558mil,3255.3794mil, 1.80000000000000E+0002,0402L,R70,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
438,4627.7179mil,3693.645mil, 9.00000000000000E+0001,0402L,R71,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
439,4645.7464mil,3580.4142mil, 0.00000000000000E+0000,0402L,R75,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
440,4646.5975mil,3402.0278mil, 0.00000000000000E+0000,0402L,R76,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
441,4927.1943mil,5014.1847mil, 1.80000000000000E+0002,0402L,R77,"RES, 470, 1%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026699-1,False,inventory_only
442,4468.9095mil,2796.4119mil, 1.80000000000000E+0002,0402L,R78,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
443,4927.1943mil,4971.1132mil, 1.80000000000000E+0002,0402L,R79,"RES, 2.49 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026237-2,False,inventory_only
444,5299.1827mil,4676.4406mil, 1.80000000000000E+0002,0201L,R80,"RES, 0, 5%, 0.05 W, 0201",Vault,CMP-0027008-4,False,inventory_only
445,4086.8886mil,3236.233mil, 1.80000000000000E+0002,0201L,R81,"RES, 0, 5%, 0.05 W, 0201",Vault,CMP-0027008-4,False,inventory_only
446,5299.1827mil,4833.9206mil, 1.80000000000000E+0002,0201L,R82,"RES, 0, 5%, 0.05 W, 0201",Vault,CMP-0027008-4,False,inventory_only
447,5299.1827mil,4875.4166mil, 1.80000000000000E+0002,0201L,R83,"RES, 0, 5%, 0.05 W, 0201",Vault,CMP-0027008-4,False,inventory_only
448,4084.9201mil,3275.6031mil, 1.80000000000000E+0002,0201L,R84,"RES, 0, 5%, 0.05 W, 0201",Vault,CMP-0027008-4,False,inventory_only
449,4423.4702mil,2339.7631mil, 0.00000000000000E+0000,0402L,R85,"RES, 61.9, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026491-2,False,inventory_only
450,4388.5948mil,2421.1692mil, 2.70000000000000E+0002,0402L,R86,"RES, 10.0 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0025958-3,False,inventory_only
451,4503.7298mil,2339.7592mil, 0.00000000000000E+0000,0402L,R87,"RES, 61.9, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026491-2,False,inventory_only
452,3646.0127mil,3000.0126mil, 0.00000000000000E+0000,0201L,R88,"RES, 0, 5%, 0.05 W, 0201",Vault,CMP-0027008-4,False,inventory_only
453,4503.755mil,5164.3936mil, 1.80000000000000E+0002,0402L,R89,"RES, 2.49 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026237-2,False,inventory_only
454,4084.9201mil,3157.4929mil, 1.80000000000000E+0002,0201L,R90,"RES, 0, 5%, 0.05 W, 0201",Vault,CMP-0027008-4,False,inventory_only
455,3745.8242mil,2990.552mil, 2.70000000000000E+0002,0201L,R91,"RES, 0, 5%, 0.05 W, 0201",Vault,CMP-0027008-4,False,inventory_only
