actual_model,assumed_model,truth_azimuth_deg,truth_elevation_deg,estimated_azimuth_deg,estimated_elevation_deg,score,azimuth_error_deg,elevation_error_deg
ideal_half_lambda,pcb_centroid_candidate,60.0,-10.0,48.0,-18.0,0.7230248338570634,-12.0,-8.0
ideal_half_lambda,pcb_centroid_candidate,-60.0,0.0,-14.0,-2.0,0.7167977201812713,46.0,-2.0
ideal_half_lambda,pcb_centroid_candidate,-40.0,0.0,-56.0,-3.0,0.8242597023409467,-16.0,-3.0
ideal_half_lambda,pcb_centroid_candidate,-20.0,0.0,46.0,1.0,0.9400181240531114,66.0,1.0
ideal_half_lambda,pcb_centroid_candidate,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ideal_half_lambda,pcb_centroid_candidate,20.0,0.0,-46.0,-1.0,0.9400181240531144,-66.0,-1.0
ideal_half_lambda,pcb_centroid_candidate,40.0,0.0,56.0,3.0,0.8242597023409477,16.0,3.0
ideal_half_lambda,pcb_centroid_candidate,60.0,0.0,14.0,2.0,0.7167977201812678,-46.0,2.0
ideal_half_lambda,pcb_centroid_candidate,-60.0,10.0,-48.0,18.0,0.7230248338570613,12.0,8.0
ideal_half_lambda,pcb_centroid_candidate,-40.0,10.0,-20.0,0.0,0.8107805496956786,20.0,-10.0
ideal_half_lambda,pcb_centroid_candidate,-20.0,10.0,-26.0,-1.0,0.9343092897412606,-6.0,-11.0
ideal_half_lambda,pcb_centroid_candidate,0.0,10.0,-34.0,12.0,0.9896708361574998,-34.0,2.0
ideal_half_lambda,pcb_centroid_candidate,20.0,10.0,49.0,2.0,0.9312162521021712,29.0,-8.0
ideal_half_lambda,pcb_centroid_candidate,40.0,10.0,5.0,-15.0,0.8112426607320247,-35.0,-25.0
ideal_half_lambda,pcb_centroid_candidate,60.0,10.0,-21.0,0.0,0.7076595710554549,-81.0,-10.0
ideal_half_lambda,pcb_centroid_candidate,-60.0,20.0,-40.0,12.0,0.7459034756460027,20.0,-8.0
ideal_half_lambda,pcb_centroid_candidate,-40.0,20.0,-54.0,-4.0,0.8201140416245444,-14.0,-24.0
ideal_half_lambda,pcb_centroid_candidate,-20.0,20.0,1.0,16.0,0.9280316926173804,21.0,-4.0
ideal_half_lambda,pcb_centroid_candidate,0.0,20.0,-16.0,9.0,0.9637126192579525,-16.0,-11.0
ideal_half_lambda,pcb_centroid_candidate,20.0,20.0,-26.0,-8.0,0.90659203255421,-46.0,-28.0
ideal_half_lambda,pcb_centroid_candidate,40.0,20.0,-53.0,-7.0,0.8282565206472497,-93.0,-27.0
ideal_half_lambda,pcb_centroid_candidate,60.0,20.0,-2.0,-9.0,0.754501657198092,-62.0,-29.0
cfg_candidate,ideal_half_lambda,-60.0,-20.0,-51.0,-5.0,0.043393875012876226,9.0,15.0
cfg_candidate,ideal_half_lambda,-40.0,-20.0,-14.0,-20.0,0.2736475683361427,26.0,0.0
cfg_candidate,ideal_half_lambda,-20.0,-20.0,32.0,-19.0,0.5712697954461121,52.0,1.0
cfg_candidate,ideal_half_lambda,0.0,-20.0,-3.0,0.0,0.5876887294244801,-3.0,20.0
cfg_candidate,ideal_half_lambda,20.0,-20.0,-27.0,19.0,0.6805244034631294,-47.0,39.0
cfg_candidate,ideal_half_lambda,40.0,-20.0,19.0,20.0,0.24819668342277615,-21.0,40.0
cfg_candidate,ideal_half_lambda,60.0,-20.0,-32.0,5.0,0.034190947098671376,-92.0,25.0
