model,azimuth_deg,elevation_deg,power_linear
ideal_v04,-57.0,13.0,0.02878935481173086
ideal_v04,-57.0,14.0,0.02618921937455991
ideal_v04,-57.0,15.0,0.023552774965409144
ideal_v04,-57.0,16.0,0.020914501050789815
ideal_v04,-57.0,17.0,0.018309945212534245
ideal_v04,-57.0,18.0,0.0157749113574265
ideal_v04,-57.0,19.0,0.013344536231678597
ideal_v04,-57.0,20.0,0.011052285519613713
ideal_v04,-56.0,-20.0,0.011439311763419457
ideal_v04,-56.0,-19.0,0.013862317507487312
ideal_v04,-56.0,-18.0,0.016445444920469236
ideal_v04,-56.0,-17.0,0.019154488456482963
ideal_v04,-56.0,-16.0,0.02195282717874582
ideal_v04,-56.0,-15.0,0.02480246064520324
ideal_v04,-56.0,-14.0,0.027664990904638184
ideal_v04,-56.0,-13.0,0.030502515646181845
ideal_v04,-56.0,-12.0,0.033278406220484585
ideal_v04,-56.0,-11.0,0.03595795343786515
ideal_v04,-56.0,-10.0,0.038508873151395014
ideal_v04,-56.0,-9.0,0.04090167213285083
ideal_v04,-56.0,-8.0,0.043109882230137474
ideal_v04,-56.0,-7.0,0.04511017695355547
ideal_v04,-56.0,-6.0,0.046882389288427063
ideal_v04,-56.0,-5.0,0.04840945259503025
ideal_v04,-56.0,-4.0,0.04967728794997489
ideal_v04,-56.0,-3.0,0.050674661298740264
ideal_v04,-56.0,-2.0,0.05139303247581418
ideal_v04,-56.0,-1.0,0.05182641569225464
ideal_v04,-56.0,0.0,0.051971267696138176
ideal_v04,-56.0,1.0,0.05182641569225466
ideal_v04,-56.0,2.0,0.05139303247581419
ideal_v04,-56.0,3.0,0.05067466129874033
ideal_v04,-56.0,4.0,0.04967728794997488
ideal_v04,-56.0,5.0,0.048409452595030225
ideal_v04,-56.0,6.0,0.04688238928842704
ideal_v04,-56.0,7.0,0.04511017695355547
ideal_v04,-56.0,8.0,0.0431098822301375
ideal_v04,-56.0,9.0,0.04090167213285085
ideal_v04,-56.0,10.0,0.038508873151395055
ideal_v04,-56.0,11.0,0.03595795343786513
ideal_v04,-56.0,12.0,0.033278406220484565
ideal_v04,-56.0,13.0,0.030502515646181817
ideal_v04,-56.0,14.0,0.027664990904638156
ideal_v04,-56.0,15.0,0.024802460645203257
ideal_v04,-56.0,16.0,0.021952827178745846
ideal_v04,-56.0,17.0,0.019154488456482963
ideal_v04,-56.0,18.0,0.01644544492046917
ideal_v04,-56.0,19.0,0.013862317507487322
ideal_v04,-56.0,20.0,0.01143931176341946
ideal_v04,-55.0,-20.0,0.011774001737352031
ideal_v04,-55.0,-19.0,0.014318996468382498
ideal_v04,-55.0,-18.0,0.01704638009418452
ideal_v04,-55.0,-17.0,0.01992147030363591
ideal_v04,-55.0,-16.0,0.02290639801403014
ideal_v04,-55.0,-15.0,0.02596116314319477
ideal_v04,-55.0,-14.0,0.02904466529977581
ideal_v04,-55.0,-13.0,0.03211567129170102
ideal_v04,-55.0,-12.0,0.03513368910149307
ideal_v04,-55.0,-11.0,0.03805972654331199
ideal_v04,-55.0,-10.0,0.040856921606558134
ideal_v04,-55.0,-9.0,0.04349103996626793
ideal_v04,-55.0,-8.0,0.04593084284616907
ideal_v04,-55.0,-7.0,0.048148335001457904
ideal_v04,-55.0,-6.0,0.050118907798465305
ideal_v04,-55.0,-5.0,0.05182139606736043
ideal_v04,-55.0,-4.0,0.05323806954985606
ideal_v04,-55.0,-3.0,0.05435458039883436
ideal_v04,-55.0,-2.0,0.05515988742112029
ideal_v04,-55.0,-1.0,0.055646175749445144
ideal_v04,-55.0,0.0,0.05580878758131684
ideal_v04,-55.0,1.0,0.0556461757494451
ideal_v04,-55.0,2.0,0.05515988742112034
ideal_v04,-55.0,3.0,0.05435458039883435
ideal_v04,-55.0,4.0,0.05323806954985603
ideal_v04,-55.0,5.0,0.05182139606736045
ideal_v04,-55.0,6.0,0.05011890779846534
ideal_v04,-55.0,7.0,0.04814833500145789
ideal_v04,-55.0,8.0,0.045930842846169044
ideal_v04,-55.0,9.0,0.04349103996626791
ideal_v04,-55.0,10.0,0.04085692160655811
ideal_v04,-55.0,11.0,0.03805972654331198
ideal_v04,-55.0,12.0,0.035133689101493074
ideal_v04,-55.0,13.0,0.03211567129170102
ideal_v04,-55.0,14.0,0.02904466529977581
ideal_v04,-55.0,15.0,0.02596116314319477
ideal_v04,-55.0,16.0,0.02290639801403013
ideal_v04,-55.0,17.0,0.019921470303635905
ideal_v04,-55.0,18.0,0.01704638009418456
ideal_v04,-55.0,19.0,0.014318996468382483
ideal_v04,-55.0,20.0,0.011774001737352052
ideal_v04,-54.0,-20.0,0.012046548377776002
ideal_v04,-54.0,-19.0,0.014702083641779778
ideal_v04,-54.0,-18.0,0.01756220349392425
ideal_v04,-54.0,-17.0,0.02059203706973144
ideal_v04,-54.0,-16.0,0.02375273870543161
ideal_v04,-54.0,-15.0,0.027002550552987125
ideal_v04,-54.0,-14.0,0.030297870878603507
ideal_v04,-54.0,-13.0,0.03359428740879735
ideal_v04,-54.0,-12.0,0.03684754174443622
ideal_v04,-54.0,-11.0,0.04001439862098631
ideal_v04,-54.0,-10.0,0.0430534020732077
ideal_v04,-54.0,-9.0,0.04592550881851117
ideal_v04,-54.0,-8.0,0.04859459692264405
ideal_v04,-54.0,-7.0,0.0510278546574023
ideal_v04,-54.0,-6.0,0.05319606010405029
ideal_v04,-54.0,-5.0,0.055073766301835705
ideal_v04,-54.0,-4.0,0.05663940949128257
ideal_v04,-54.0,-3.0,0.057875359249932375
ideal_v04,-54.0,-2.0,0.058767929134516506
ideal_v04,-54.0,-1.0,0.059307364961993174
ideal_v04,-54.0,0.0,0.059487825264910706
ideal_v04,-54.0,1.0,0.05930736496199309
ideal_v04,-54.0,2.0,0.05876792913451653
ideal_v04,-54.0,3.0,0.05787535924993235
ideal_v04,-54.0,4.0,0.05663940949128257
ideal_v04,-54.0,5.0,0.05507376630183575
ideal_v04,-54.0,6.0,0.05319606010405028
ideal_v04,-54.0,7.0,0.05102785465740229
ideal_v04,-54.0,8.0,0.0485945969226441
ideal_v04,-54.0,9.0,0.04592550881851115
ideal_v04,-54.0,10.0,0.04305340207320768
ideal_v04,-54.0,11.0,0.04001439862098634
ideal_v04,-54.0,12.0,0.03684754174443624
ideal_v04,-54.0,13.0,0.03359428740879733
ideal_v04,-54.0,14.0,0.030297870878603566
ideal_v04,-54.0,15.0,0.027002550552987132
ideal_v04,-54.0,16.0,0.02375273870543163
ideal_v04,-54.0,17.0,0.020592037069731447
