actual_model,assumed_model,truth_azimuth_deg,truth_elevation_deg,estimated_azimuth_deg,estimated_elevation_deg,azimuth_error_deg,elevation_error_deg,normalized_beam_peak
ideal_half_lambda,rf_endpoint_candidate,20.0,-10.0,78.0,-12.0,58.0,-2.0,0.9540184528579099
ideal_half_lambda,rf_endpoint_candidate,40.0,-10.0,42.0,32.0,2.0,42.0,0.9697664909924761
ideal_half_lambda,rf_endpoint_candidate,60.0,-10.0,16.0,24.0,-44.0,34.0,0.9620875593934999
ideal_half_lambda,rf_endpoint_candidate,-60.0,0.0,0.0,10.0,60.0,10.0,0.9712799113947602
ideal_half_lambda,rf_endpoint_candidate,-40.0,0.0,-40.0,32.0,0.0,32.0,0.9784897109170373
ideal_half_lambda,rf_endpoint_candidate,-20.0,0.0,0.0,34.0,20.0,34.0,0.9722074230920077
ideal_half_lambda,rf_endpoint_candidate,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ideal_half_lambda,rf_endpoint_candidate,20.0,0.0,0.0,-34.0,-20.0,-34.0,0.9722074230920071
ideal_half_lambda,rf_endpoint_candidate,40.0,0.0,40.0,-32.0,0.0,-32.0,0.9784897109170372
ideal_half_lambda,rf_endpoint_candidate,60.0,0.0,0.0,-10.0,-60.0,-10.0,0.9712799113947611
ideal_half_lambda,rf_endpoint_candidate,-60.0,10.0,-16.0,-24.0,44.0,-34.0,0.9620875593935
ideal_half_lambda,rf_endpoint_candidate,-40.0,10.0,-42.0,-32.0,-2.0,-42.0,0.9697664909924758
ideal_half_lambda,rf_endpoint_candidate,-20.0,10.0,-78.0,12.0,-58.0,2.0,0.9540184528579096
ideal_half_lambda,rf_endpoint_candidate,0.0,10.0,-2.0,6.0,-2.0,-4.0,0.9105806912677643
ideal_half_lambda,rf_endpoint_candidate,20.0,10.0,-30.0,-32.0,-50.0,-42.0,0.984822795299783
ideal_half_lambda,rf_endpoint_candidate,40.0,10.0,70.0,6.0,30.0,-4.0,0.9757569622812947
ideal_half_lambda,rf_endpoint_candidate,60.0,10.0,-40.0,10.0,-100.0,0.0,0.9877793046876548
ideal_half_lambda,rf_endpoint_candidate,-60.0,20.0,-72.0,-2.0,-12.0,-22.0,0.9926552620773541
ideal_half_lambda,rf_endpoint_candidate,-40.0,20.0,80.0,-40.0,120.0,-60.0,0.9732263626295103
ideal_half_lambda,rf_endpoint_candidate,-20.0,20.0,-70.0,16.0,-50.0,-4.0,0.9651386943413816
ideal_half_lambda,rf_endpoint_candidate,0.0,20.0,-28.0,6.0,-28.0,-14.0,0.9675343862357466
ideal_half_lambda,rf_endpoint_candidate,20.0,20.0,-24.0,-16.0,-44.0,-36.0,0.9537327496649816
ideal_half_lambda,rf_endpoint_candidate,40.0,20.0,-56.0,38.0,-96.0,18.0,0.9690963737257271
ideal_half_lambda,rf_endpoint_candidate,60.0,20.0,54.0,-12.0,-6.0,-32.0,0.9927737713019544
ideal_half_lambda,cfg_candidate,-60.0,-20.0,-18.0,2.0,42.0,22.0,0.8630452328881791
ideal_half_lambda,cfg_candidate,-40.0,-20.0,-14.0,2.0,26.0,22.0,0.8615488142106054
ideal_half_lambda,cfg_candidate,-20.0,-20.0,-8.0,2.0,12.0,22.0,0.7367646128757798
