case_id,frame,time_s,range_m,velocity_mps,power_linear,estimated_azimuth_deg,estimated_elevation_deg,peak_score,doppler_min_hz,doppler_max_hz
ss0_flat,33,16.5,3.5131928671875,0.0,432687.30302196613,-49.0,-3.0,0.2809594018972227,0.0,0.0
ss0_flat,34,17.0,3.5131928671875,0.0,432687.30302196613,-49.0,-3.0,0.2809594018972227,0.0,0.0
ss0_flat,35,17.5,3.5131928671875,0.0,432687.30302196613,-49.0,-3.0,0.2809594018972227,0.0,0.0
ss0_flat,36,18.0,3.5131928671875,0.0,432687.30302196613,-49.0,-3.0,0.2809594018972227,0.0,0.0
ss0_flat,37,18.5,3.5131928671875,0.0,432687.30302196613,-49.0,-3.0,0.2809594018972227,0.0,0.0
ss0_flat,38,19.0,3.5131928671875,0.0,432687.30302196613,-49.0,-3.0,0.2809594018972227,0.0,0.0
ss0_flat,39,19.5,3.5131928671875,0.0,432687.30302196613,-49.0,-3.0,0.2809594018972227,0.0,0.0
ss0_flat,40,20.0,3.5131928671875,0.0,432687.30302196613,-49.0,-3.0,0.2809594018972227,0.0,0.0
ss1_rippled,0,0.0,3.5131928671875,0.0,780856.6510757811,-4.0,20.0,0.49190278911323443,0.0,0.0
ss1_rippled,1,0.5,3.5131928671875,0.0,386621.70734019234,-19.0,-8.0,0.3738198359814987,-9.496054458715319,20.106673859037656
ss1_rippled,2,1.0,3.5131928671875,0.0,392715.9683868288,0.0,17.0,0.48013644919356774,-15.525082554900488,14.483584966877677
ss1_rippled,3,1.5,3.5131928671875,0.0,559631.2944162083,-32.0,-14.0,0.46400184061967364,-17.55861694550164,12.105389177529137
ss1_rippled,4,2.0,3.5131928671875,0.0,547880.1792905771,-4.0,20.0,0.49996524833071015,-13.360972887156423,14.928423280884044
ss1_rippled,5,2.5,3.5131928671875,0.0,713442.1935399647,14.0,-11.0,0.43259697529312136,-12.24630721862583,11.949738127408501
ss1_rippled,6,3.0,3.5131928671875,0.0,1059708.8391658007,4.0,-20.0,0.5151339689566922,-10.872819044786354,9.32348280705508
ss1_rippled,7,3.5,3.5131928671875,0.0,691981.4100820604,44.0,1.0,0.3048839111806347,-15.854884864905715,14.711738640212078
ss1_rippled,8,4.0,3.5131928671875,0.0,808083.7612883174,-43.0,-14.0,0.5752401461375239,-12.137787349720487,17.222138339636082
