source_file,frame_num,point_index,x_m,y_m,z_m,velocity_mps
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,12,2,-1.0443370342254639,1.4152848720550537,0.0,0.0
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,12,3,0.9893719553947449,1.454240083694458,0.0,0.0
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,12,4,-2.4657957553863525,3.341644763946533,0.0,0.0
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,12,5,2.206238269805908,3.518415927886963,0.0,0.0
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,12,6,-2.5818333625793457,3.498898983001709,0.0,0.0
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,12,7,1.2229737043380737,4.17282772064209,0.0,0.0
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,12,8,-3.3666129112243652,3.870866298675537,0.0,0.0
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,12,9,1.122204303741455,5.005831241607666,0.0,0.0
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,12,10,4.23231315612793,4.470458030700684,0.0,0.0
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,12,11,-1.1542673110961914,6.046911716461182,0.0,0.0
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,13,0,-0.08244767040014267,0.12118668109178543,0.0,0.0
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,13,1,0.08244767040014267,0.12118668109178543,0.0,0.0
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,13,2,-1.0993021726608276,1.373028039932251,0.0,0.0
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,13,3,0.9893719553947449,1.454240083694458,0.0,0.0
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,13,4,-2.4657957553863525,3.341644763946533,0.0,0.0
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,13,5,2.206238269805908,3.518415927886963,0.0,0.0
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,13,6,-2.5818333625793457,3.498898983001709,0.0,0.0
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,13,7,1.2229737043380737,4.17282772064209,0.0,0.0
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,13,8,-3.2062981128692627,4.004664897918701,0.0,0.0
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,13,9,1.122204303741455,5.005831241607666,0.0,0.0
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,13,10,4.03993558883667,4.6450395584106445,0.0,0.0
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,13,11,-1.3466451168060303,6.006997585296631,0.0,0.0
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,14,0,-0.08244767040014267,0.12118668109178543,0.0,0.0
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,14,1,0.08244767040014267,0.12118668109178543,0.0,0.0
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,14,2,-1.0993021726608276,1.373028039932251,0.0,0.0
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,14,3,0.9893719553947449,1.454240083694458,0.0,0.0
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,14,4,-2.4657957553863525,3.341644763946533,0.0,0.0
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,14,5,2.206238269805908,3.518415927886963,0.0,0.0
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,14,6,-2.5818333625793457,3.498898983001709,0.0,0.0
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,14,7,1.2229737043380737,4.17282772064209,0.0,0.0
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,14,8,-3.2062981128692627,4.004664897918701,0.0,0.0
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,14,9,1.122204303741455,5.005831241607666,0.0,0.0
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,14,10,4.03993558883667,4.6450395584106445,0.0,0.0
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,14,11,-1.3466451168060303,6.006997585296631,0.0,0.0
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,15,0,-0.08244767040014267,0.12118668109178543,0.0,0.0
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,15,1,0.08244767040014267,0.12118668109178543,0.0,0.0
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,15,2,-1.0993021726608276,1.373028039932251,0.0,0.0
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,15,3,0.9344068765640259,1.4901525974273682,0.0,0.0
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,15,4,-2.4657957553863525,3.341644763946533,0.0,0.0
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,15,5,2.206238269805908,3.518415927886963,0.0,0.0
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,15,6,-2.5818333625793457,3.498898983001709,0.0,0.0
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,15,7,1.2229737043380737,4.17282772064209,0.0,0.0
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,15,8,-3.3666129112243652,3.870866298675537,0.0,0.0
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,15,9,1.122204303741455,5.005831241607666,0.0,0.0
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,15,10,4.03993558883667,4.6450395584106445,0.0,0.0
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,15,11,-1.3466451168060303,6.006997585296631,0.0,0.0
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,16,0,-0.08244767040014267,0.12118668109178543,0.0,0.0
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,16,1,0.08244767040014267,0.12118668109178543,0.0,0.0
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,16,2,-1.0993021726608276,1.373028039932251,0.0,0.0
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,16,3,0.9344068765640259,1.4901525974273682,0.0,0.0
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,16,4,-2.4657957553863525,3.341644763946533,0.0,0.0
