case_id,frame,time_s,x_m,y_m,z_m,slant_range_m,azimuth_deg,elevation_deg,mask_3db,mask_6db
ss0_flat,20,10.0,-25.0,3.0,0.0,25.199206336708304,-83.15722658736907,2.2743108523609474,0,0
ss0_flat,20,10.0,-24.0,3.0,0.0,24.207436873820406,-82.8749836510982,2.367540523446962,0,0
ss0_flat,20,10.0,-23.0,3.0,0.0,23.2163735324878,-82.5685920288275,2.468667681099718,0,0
ss0_flat,20,10.0,-22.0,3.0,0.0,22.22611077089287,-82.23483398157467,2.5787295084521857,0,0
ss0_flat,20,10.0,-21.0,3.0,0.0,21.236760581595302,-81.86989764584403,2.698950908923438,0,0
ss0_flat,20,10.0,-20.0,3.0,0.0,20.248456731316587,-81.46923439005187,2.8307883826101503,0,0
ss0_flat,20,10.0,-19.0,3.0,0.0,19.26136028425822,-81.02737338510362,2.975986601228608,0,0
ss0_flat,20,10.0,-18.0,3.0,0.0,18.275666882497067,-80.53767779197439,3.136652094787719,0,0
ss0_flat,20,10.0,-17.0,3.0,0.0,17.291616465790582,-79.99202019855866,3.3153502586395787,0,0
ss0_flat,20,10.0,-16.0,3.0,0.0,16.30950643030009,-79.38034472384487,3.515234519082136,0,0
ss0_flat,20,10.0,-15.0,3.0,0.0,15.329709716755893,-78.69006752597979,3.740220388190504,0,0
ss0_flat,20,10.0,-14.0,3.0,0.0,14.352700094407323,-77.9052429229879,3.99522295462384,0,0
ss0_flat,20,10.0,-13.0,3.0,0.0,13.379088160259652,-77.0053832080835,4.286485103811266,0,0
ss0_flat,20,10.0,-12.0,3.0,0.0,12.409673645990855,-75.96375653207353,4.622036925837125,0,0
ss0_flat,20,10.0,-11.0,3.0,0.0,11.445523142259598,-74.74488129694222,5.012346376969023,0,0
ss0_flat,20,10.0,-10.0,3.0,0.0,10.488088481701515,-73.30075576600639,5.47124945343343,0,0
ss0_flat,20,10.0,-9.0,3.0,0.0,9.539392014169456,-71.56505117707799,6.017284864032033,0,0
ss0_flat,20,10.0,-8.0,3.0,0.0,8.602325267042627,-69.44395478041653,6.67559216607672,0,0
ss0_flat,20,10.0,-7.0,3.0,0.0,7.681145747868609,-66.80140948635182,7.480508891708272,0,0
ss0_flat,20,10.0,-6.0,3.0,0.0,6.782329983125269,-63.43494882292201,8.478713147086157,0,0
ss0_flat,20,10.0,-5.0,3.0,0.0,5.916079783099616,-59.03624346792648,9.731475473157628,0,0
ss0_flat,20,10.0,-4.0,3.0,0.0,5.0990195135927845,-53.13010235415598,11.309932474020213,0,0
ss0_flat,20,10.0,-3.0,3.0,0.0,4.358898943540673,-45.0,13.262676008304846,0,0
ss0_flat,20,10.0,-2.0,3.0,0.0,3.7416573867739413,-33.690067525979785,15.501359566936996,0,0
ss0_flat,20,10.0,-1.0,3.0,0.0,3.3166247903554003,-18.43494882292201,17.548400613792296,0,0
ss0_flat,20,10.0,0.0,3.0,0.0,3.1622776601683795,0.0,18.43494882292201,0,0
ss0_flat,20,10.0,1.0,3.0,0.0,3.3166247903554003,18.43494882292201,17.548400613792296,0,0
ss0_flat,20,10.0,2.0,3.0,0.0,3.7416573867739413,33.690067525979785,15.501359566936996,0,0
ss0_flat,20,10.0,3.0,3.0,0.0,4.358898943540673,45.0,13.262676008304846,0,0
ss0_flat,20,10.0,4.0,3.0,0.0,5.0990195135927845,53.13010235415598,11.309932474020213,0,0
ss0_flat,20,10.0,5.0,3.0,0.0,5.916079783099616,59.03624346792648,9.731475473157628,0,0
ss0_flat,20,10.0,6.0,3.0,0.0,6.782329983125269,63.43494882292201,8.478713147086157,0,0
ss0_flat,20,10.0,7.0,3.0,0.0,7.681145747868609,66.80140948635182,7.480508891708272,0,0
ss0_flat,20,10.0,8.0,3.0,0.0,8.602325267042627,69.44395478041653,6.67559216607672,0,0
ss0_flat,20,10.0,9.0,3.0,0.0,9.539392014169456,71.56505117707799,6.017284864032033,0,0
ss0_flat,20,10.0,10.0,3.0,0.0,10.488088481701515,73.30075576600639,5.47124945343343,0,0
ss0_flat,20,10.0,11.0,3.0,0.0,11.445523142259598,74.74488129694222,5.012346376969023,0,0
ss0_flat,20,10.0,12.0,3.0,0.0,12.409673645990855,75.96375653207353,4.622036925837125,0,0
ss0_flat,20,10.0,13.0,3.0,0.0,13.379088160259652,77.0053832080835,4.286485103811266,0,0
ss0_flat,20,10.0,14.0,3.0,0.0,14.352700094407323,77.9052429229879,3.99522295462384,0,0
ss0_flat,20,10.0,15.0,3.0,0.0,15.329709716755893,78.69006752597979,3.740220388190504,0,0
